track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2022/10/05,1,Class 3,1000,"TURF - ""C+3"" Course",GOOD TO FIRM,PING HAI GALAXY,C377,1,56.33,Z Purton,J Size,131.0,1111.0,1,3 2 1,4.1,12.75,20.98,22.6,,,
Happy Valley,2022/10/05,1,Class 3,1000,"TURF - ""C+3"" Course",GOOD TO FIRM,SEIZING THE MOMENT,E444,2,56.44,V Borges,J Size,134.0,1061.0,2,7 6 2,17.0,13.03,20.9,22.51,,,
Happy Valley,2022/10/05,1,Class 3,1000,"TURF - ""C+3"" Course",GOOD TO FIRM,HEROIC MASTER,G394,3,56.48,K C Leung,F C Lor,119.0,1078.0,7,6 4 3,7.3,12.95,20.82,22.71,,,
Happy Valley,2022/10/05,1,Class 3,1000,"TURF - ""C+3"" Course",GOOD TO FIRM,SUPER AXIOM,E105,4,56.56,H N Wong,Y S Tsui,114.0,1213.0,4,1 1 4,11.0,12.55,20.94,23.07,,,
Happy Valley,2022/10/05,1,Class 3,1000,"TURF - ""C+3"" Course",GOOD TO FIRM,EQUALETTA BLITZ,D385,5,56.58,L Hewitson,D J Whyte,135.0,1128.0,6,5 7 5,2.4,12.91,21.18,22.49,,,
Happy Valley,2022/10/05,1,Class 3,1000,"TURF - ""C+3"" Course",GOOD TO FIRM,PARTY WARRIOR,E368,6,56.67,C Y Ho,K W Lui,130.0,1030.0,3,4 5 6,5.7,12.75,21.18,22.74,,,
Happy Valley,2022/10/05,1,Class 3,1000,"TURF - ""C+3"" Course",GOOD TO FIRM,AWESOME TREASURE,E435,7,56.82,M F Poon,D A Hayes,114.0,1135.0,5,2 3 7,10.0,12.63,21.1,23.09,,,
Happy Valley,2022/10/05,2,Class 5,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,SUNNY AND GOLD,D177,1,70.37,A Hamelin,C H Yip,132.0,1061.0,5,7 8 1,11.0,24.12,23.23,23.02,,,
Happy Valley,2022/10/05,2,Class 5,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,HEARTY WISH,E343,2,70.44,L Hewitson,D J Whyte,131.0,1079.0,11,3 2 2,14.0,23.68,23.15,23.61,,,
Happy Valley,2022/10/05,2,Class 5,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,ISLAND SURPRISE,E429,3,70.46000000000001,Z Purton,K L Man,135.0,1108.0,9,2 3 3,4.3,23.68,23.31,23.47,,,
