track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2022/05/22,1,Griffin Race,1200,"TURF - ""A"" Course",GOOD,CIRCUIT NINE,G140,1,70.62,M Chadwick,A S Cruz,133.0,1114.0,1,4 5 1,1.2,25.06,23.46,22.1,,,
Sha Tin,2022/05/22,1,Griffin Race,1200,"TURF - ""A"" Course",GOOD,LUCKY BANNER,G354,2,70.69,B Shinn,C Fownes,126.0,933.0,5,1 1 2,17.0,24.5,23.66,22.53,,,
Sha Tin,2022/05/22,1,Griffin Race,1200,"TURF - ""A"" Course",GOOD,YOUNG SPARKLE,G066,3,71.12,J Moreira,A T Millard,126.0,1169.0,6,6 3 3,5.2,25.42,23.02,22.68,,,
Sha Tin,2022/05/22,1,Griffin Race,1200,"TURF - ""A"" Course",GOOD,OUR PRECIOUS,G297,4,71.19,L Ferraris,C Fownes,126.0,1129.0,2,2 2 4,15.0,24.7,23.7,22.79,,,
Sha Tin,2022/05/22,1,Griffin Race,1200,"TURF - ""A"" Course",GOOD,SUPERB MOVE,G304,5,71.23,R Maia,C H Yip,126.0,1107.0,3,3 4 5,25.0,24.82,23.7,22.71,,,
Sha Tin,2022/05/22,1,Griffin Race,1200,"TURF - ""A"" Course",GOOD,FLYING SILVER,E478,6,71.53,A Badel,C S Shum,126.0,1027.0,4,5 6 6,35.0,25.3,23.54,22.69,,,
Sha Tin,2022/05/22,1,Griffin Race,1200,"TURF - ""A"" Course",GOOD,JOYFUL CHAMPION,G072,WV,,H T Mo,C W Chang,124.0,,,---,,,,,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,BUNDLE OF CHARM,G213,1,69.71000000000001,J Moreira,J Size,125.0,1134.0,10,3 3 1,5.7,23.98,22.64,23.09,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,VICTORY SCHOLARS,E091,2,69.84,Z Purton,D J Hall,133.0,1253.0,3,4 4 2,2.4,24.1,22.64,23.1,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,REGENT GLORY,E323,3,69.85,L Currie,D A Hayes,120.0,1036.0,12,2 2 3,41.0,23.74,22.8,23.31,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,DOUBLE SHOW,G250,4,69.89,L Hewitson,D J Whyte,122.0,1190.0,2,7 7 4,6.4,24.38,22.52,22.99,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,ALL IS GOOD,G269,5,70.3,B Shinn,K W Lui,125.0,1179.0,8,8 8 5,15.0,24.5,22.48,23.32,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,EASY SNIP,G211,6,70.44,C L Chau,T P Yung,129.0,1219.0,5,9 9 6,43.0,24.58,22.48,23.38,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,TRUST ME,C134,7,70.57,K C Leung,C H Yip,131.0,1131.0,7,5 5 7,11.0,24.26,22.52,23.79,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,STAND UP,G318,8,70.68,K Teetan,F C Lor,125.0,1142.0,14,11 10 8,66.0,24.7,22.4,23.58,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,HAPPY SOUL,G249,9,70.9,H Bentley,C S Shum,123.0,1076.0,9,13 12 9,95.0,24.78,22.6,23.52,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,JACK WIN,G155,10,71.24,M F Poon,A S Cruz,123.0,1245.0,11,12 13 10,14.0,24.7,22.68,23.86,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,GREAT FOR YOU,G186,11,71.71000000000001,L Ferraris,Y S Tsui,125.0,1224.0,1,1 1 11,7.8,23.7,22.84,25.17,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,AEROVERSARY,G089,12,71.89,C Y Ho,P O'Sullivan,125.0,1180.0,4,6 6 12,59.0,24.34,22.56,24.99,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,PRIDE OF DRAGON,E283,13,72.1,C Wong,C W Chang,113.0,1047.0,13,10 11 13,34.0,24.62,22.76,24.72,,,
Sha Tin,2022/05/22,2,Class 4,1200,"TURF - ""A"" Course",GOOD,BELLA BABY,B365,WV-A,,A Badel,W Y So,117.0,,,---,,,,,,,
Sha Tin,2022/05/22,3,Class 4,1000,"TURF - ""A"" Course",GOOD,SUPER AXIOM,E105,1,57.17,H T Mo,Y S Tsui,121.0,1220.0,14,1 1 1,9.6,13.14,20.69,23.34,,,
Sha Tin,2022/05/22,3,Class 4,1000,"TURF - ""A"" Course",GOOD,TIMESTORM,G109,2,57.43,L Ferraris,D J Hall,127.0,1070.0,8,8 8 2,101.0,13.66,20.81,22.96,,,
Sha Tin,2022/05/22,3,Class 4,1000,"TURF - ""A"" Course",GOOD,AMAZING ROCKY,D356,3,57.57,M F Poon,T P Yung,128.0,1190.0,3,2 3 3,24.0,13.26,20.81,23.5,,,
Sha Tin,2022/05/22,3,Class 4,1000,"TURF - ""A"" Course",GOOD,EL JEFE,C466,4,57.6,K C Leung,C H Yip,119.0,1113.0,12,10 13 4,9.6,13.86,20.93,22.81,,,
Sha Tin,2022/05/22,3,Class 4,1000,"TURF - ""A"" Course",GOOD,JUMBO LEGEND,G266,5,57.8,B Shinn,C Fownes,126.0,1063.0,10,12 14 5,12.0,13.86,20.97,22.97,,,
