track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,CIGAR BUDDIES,D299,1,70.39,A Hamelin,K H Ting,119.0,1113.0,4,1 1 1,9.2,23.69,22.89,23.81,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,SUNNY AND GOLD,D177,2,70.4,Z Purton,C H Yip,130.0,1077.0,11,2 2 2,8.0,23.73,22.93,23.74,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,FOX CHEUNGER,B187,3,70.42,R Maia,K W Lui,127.0,1011.0,1,4 4 3,5.8,23.97,22.85,23.6,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,VIVA CHEF,D411,4,70.59,A Badel,L Ho,129.0,1051.0,2,3 5 4,6.0,23.93,22.97,23.69,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,E HONEY,E088,5,70.69,K H Chan,C Fownes,115.0,1086.0,3,10 9 5,9.4,24.33,22.97,23.39,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,SUNNY SMILE,D074,6,70.74,C L Chau,D E Ferraris,116.0,984.0,5,7 7 6,9.7,24.13,22.97,23.64,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,XIANG LAN QI,C167,7,70.85,M Chadwick,K L Man,118.0,1124.0,7,8 6 7,16.0,24.13,22.97,23.75,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,ALLOY STAR,D053,8,70.97,B Shinn,T P Yung,127.0,1084.0,6,9 10 8,12.0,24.33,22.97,23.67,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,GOLDEN MISSION,C106,9,71.0,H Bentley,C W Chang,118.0,1161.0,12,6 8 9,10.0,24.09,23.13,23.78,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,VECTOR,E027,10,71.01,K Teetan,A S Cruz,125.0,1212.0,9,5 3 10,12.0,23.97,22.81,24.23,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,DESTINE JEWELLERY,D032,11,71.03,J Moreira,J Size,129.0,1175.0,10,11 11 11,13.0,24.53,22.81,23.69,,,
Happy Valley,2021/11/03,1,Class 5,1200,"TURF - ""A"" Course",GOOD,ORIENTAL AMIGO,D232,12,71.03999999999999,C Y Ho,Y S Tsui,133.0,1083.0,8,12 12 12,22.0,24.69,22.85,23.5,,,
Happy Valley,2021/11/03,2,Class 5,2200,"TURF - ""A"" Course",GOOD,GO BALLISTIC,C493,1,138.97,B Shinn,D E Ferraris,128.0,1161.0,3,8 7 8 8 7 1,5.7,14.63,23.69,25.22,26.12,24.92,24.39
Happy Valley,2021/11/03,2,Class 5,2200,"TURF - ""A"" Course",GOOD,JOLLY FOREVER,D331,2,139.01,A Hamelin,W Y So,119.0,1137.0,9,10 9 9 9 6 2,9.4,14.87,23.65,25.3,25.92,24.84,24.43
Happy Valley,2021/11/03,2,Class 5,2200,"TURF - ""A"" Course",GOOD,FORTUNE TRIPLE,D274,3,139.15,T Piccone,Y S Tsui,125.0,1003.0,8,6 6 7 6 1 3,24.0,14.63,23.61,25.26,26.04,24.68,24.93
Happy Valley,2021/11/03,2,Class 5,2200,"TURF - ""A"" Course",GOOD,SUPER HONG KONG,D241,4,139.29,J Moreira,A T Millard,132.0,1014.0,2,4 5 3 4 8 4,4.8,14.51,23.61,25.1,26.16,25.24,24.67
Happy Valley,2021/11/03,2,Class 5,2200,"TURF - ""A"" Course",GOOD,EXALTATION,C370,5,139.32999999999998,C L Chau,A S Cruz,124.0,1069.0,4,9 10 10 10 10 5,7.2,14.87,23.81,25.18,26.04,24.96,24.47
Happy Valley,2021/11/03,2,Class 5,2200,"TURF - ""A"" Course",GOOD,MAGNETISM,V114,6,139.7,A Badel,D E Ferraris,128.0,1155.0,10,11 11 11 11 2 6,14.0,15.39,23.49,25.26,25.8,24.48,25.28
