track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2020/11/01,1,Class 3,2000,"TURF - ""A"" Course",GOOD,BLASTOISE,C450,1,121.07,C L Chau,D E Ferraris,116.0,1085.0,6,2 3 3 2 1,9.7,26.21,24.62,24.26,23.08,22.9,
Sha Tin,2020/11/01,1,Class 3,2000,"TURF - ""A"" Course",GOOD,VINCY,B213,2,121.13,Z Purton,D J Whyte,127.0,1073.0,8,8 7 7 5 2,4.6,26.85,24.3,24.34,22.88,22.76,
Sha Tin,2020/11/01,1,Class 3,2000,"TURF - ""A"" Course",GOOD,LONDON HALL,B026,3,121.36,A Badel,D J Hall,132.0,1088.0,1,4 6 6 4 3,8.2,26.45,24.66,24.18,23.04,23.03,
Sha Tin,2020/11/01,1,Class 3,2000,"TURF - ""A"" Course",GOOD,STIMULATION,B351,4,121.37,K Teetan,A S Cruz,119.0,1040.0,3,7 8 8 8 4,7.2,26.77,24.5,24.34,23.04,22.72,
Sha Tin,2020/11/01,1,Class 3,2000,"TURF - ""A"" Course",GOOD,GOD OF DRAGON,B108,5,121.56,J Moreira,A S Cruz,127.0,1053.0,2,3 2 2 3 5,3.0,26.37,24.38,24.26,23.16,23.39,
Sha Tin,2020/11/01,1,Class 3,2000,"TURF - ""A"" Course",GOOD,CHEERFUL LEADER,C394,6,121.72,C Schofield,P F Yiu,121.0,1089.0,4,1 1 1 1 6,5.8,26.21,24.34,24.34,23.12,23.71,
Sha Tin,2020/11/01,1,Class 3,2000,"TURF - ""A"" Course",GOOD,ABOVE,B345,7,121.74,M F Poon,A T Millard,116.0,1017.0,5,6 5 5 6 7,24.0,26.57,24.42,24.22,23.2,23.33,
Sha Tin,2020/11/01,1,Class 3,2000,"TURF - ""A"" Course",GOOD,CLEMENT LEGEND,B137,8,123.27,V Borges,C S Shum,122.0,1135.0,7,5 4 4 7 8,11.0,26.53,24.38,24.3,23.28,24.78,
Sha Tin,2020/11/01,2,Class 5,1200,"TURF - ""A"" Course",GOOD TO FIRM,PLIKCLONE,D003,1,69.41,B Shinn,D J Hall,129.0,1004.0,10,8 4 1,6.4,24.56,22.05,22.8,,,
Sha Tin,2020/11/01,2,Class 5,1200,"TURF - ""A"" Course",GOOD TO FIRM,ONE STEP AHEAD,C242,2,69.65,M Chadwick,P O'Sullivan,123.0,985.0,6,11 9 2,11.0,24.8,22.05,22.8,,,
Sha Tin,2020/11/01,2,Class 5,1200,"TURF - ""A"" Course",GOOD TO FIRM,BELLA BABY,B365,3,69.67,N Callan,W Y So,130.0,1019.0,3,6 5 3,7.2,24.56,22.05,23.06,,,
Sha Tin,2020/11/01,2,Class 5,1200,"TURF - ""A"" Course",GOOD TO FIRM,GREEN ENVY,C313,4,69.81,J Moreira,C Fownes,130.0,1170.0,11,13 10 4,5.7,24.92,21.93,22.96,,,
Sha Tin,2020/11/01,2,Class 5,1200,"TURF - ""A"" Course",GOOD TO FIRM,TELECOM MISSILE,D209,5,69.97,Z Purton,C H Yip,132.0,1269.0,14,2 2 5,4.6,24.08,22.29,23.6,,,
Sha Tin,2020/11/01,2,Class 5,1200,"TURF - ""A"" Course",GOOD TO FIRM,APOLLOS BOW,C384,6,70.01,C Schofield,Y S Tsui,130.0,1204.0,7,1 1 6,10.0,24.04,22.25,23.72,,,
Sha Tin,2020/11/01,2,Class 5,1200,"TURF - ""A"" Course",GOOD TO FIRM,FOX CHEUNGER,B187,7,70.12,T Piccone,K W Lui,128.0,997.0,2,7 8 7,10.0,24.56,22.25,23.31,,,
Sha Tin,2020/11/01,2,Class 5,1200,"TURF - ""A"" Course",GOOD TO FIRM,MOON PEAKS,C403,8,70.31,H W Lai,Y S Tsui,128.0,1153.0,4,5 7 8,20.0,24.32,22.45,23.54,,,
