track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2022/12/24,1,Class 4 (Restricted),1400,"TURF - ""B"" Course",GOOD TO FIRM,FORERUNNER,G465,1,82.31,H Bowman,T P Yung,126.0,1034.0,9,10 11 8 1,5.3,13.84,22.05,23.4,23.02,,
Sha Tin,2022/12/24,1,Class 4 (Restricted),1400,"TURF - ""B"" Course",GOOD TO FIRM,FAST BUCK,H126,2,82.48,Z Purton,J Size,125.0,1165.0,13,2 2 2 2,2.9,13.4,21.61,23.84,23.63,,
Sha Tin,2022/12/24,1,Class 4 (Restricted),1400,"TURF - ""B"" Course",GOOD TO FIRM,GLORY BO BO,G262,3,82.81,M F Poon,C S Shum,118.0,1150.0,6,1 1 1 3,2.6,13.36,21.45,23.92,24.08,,
Sha Tin,2022/12/24,1,Class 4 (Restricted),1400,"TURF - ""B"" Course",GOOD TO FIRM,STRONGEST BOY,H027,4,82.89,M L Yeung,D A Hayes,126.0,1117.0,14,11 7 3 4,27.0,13.84,21.77,23.32,23.96,,
Sha Tin,2022/12/24,1,Class 4 (Restricted),1400,"TURF - ""B"" Course",GOOD TO FIRM,STARSHIP EIGHTY,H022,5,82.94,K C Leung,P C Ng,126.0,1256.0,12,13 13 14 5,136.0,14.08,22.05,23.6,23.21,,
Sha Tin,2022/12/24,1,Class 4 (Restricted),1400,"TURF - ""B"" Course",GOOD TO FIRM,HAPPY WON,G353,6,82.94,K Teetan,F C Lor,127.0,1122.0,3,5 6 7 6,20.0,13.52,21.93,23.72,23.77,,
Sha Tin,2022/12/24,1,Class 4 (Restricted),1400,"TURF - ""B"" Course",GOOD TO FIRM,LUCKY BANNER,G354,7,83.2,C Y Ho,C Fownes,127.0,979.0,5,3 3 5 7,15.0,13.4,21.77,23.84,24.19,,
Sha Tin,2022/12/24,1,Class 4 (Restricted),1400,"TURF - ""B"" Course",GOOD TO FIRM,COURIER MARVEL,H103,8,83.24,R Maia,J Richards,126.0,1197.0,2,8 8 9 8,69.0,13.64,22.01,23.72,23.87,,
Sha Tin,2022/12/24,1,Class 4 (Restricted),1400,"TURF - ""B"" Course",GOOD TO FIRM,SMART BEAUTY,G477,9,83.25,L Currie,A S Cruz,126.0,1076.0,7,9 10 11 9,78.0,13.8,22.09,23.68,23.68,,
Sha Tin,2022/12/24,1,Class 4 (Restricted),1400,"TURF - ""B"" Course",GOOD TO FIRM,JOYFUL CHAMPION,G072,10,83.61,V Borges,C W Chang,121.0,1165.0,4,4 5 6 10,29.0,13.4,22.01,23.72,24.48,,
