track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,REGENCY GEM,C035,1,69.84,K Teetan,W Y So,127.0,1165.0,7,12 10 1,18.0,24.77,22.42,22.65,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,MASTERWORK,C334,2,69.88,C Y Ho,Y S Tsui,125.0,1155.0,2,1 1 2,7.0,23.81,22.18,23.89,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,VALIANT ELEGANCE,D285,3,70.0,C L Chau,D J Whyte,128.0,1090.0,8,2 2 3,5.9,23.85,22.18,23.97,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,TIGERLAD,C243,4,70.03999999999999,M F Poon,A T Millard,119.0,1155.0,10,3 4 4,9.9,23.85,22.58,23.61,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,YEE CHEONG LUCKY,B357,5,70.09,Z Purton,C S Shum,124.0,1086.0,6,10 6 5,10.0,24.37,22.06,23.66,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,LUCKY VICTOR,C514,6,70.56,M L Yeung,K H Ting,113.0,1180.0,1,6 3 6,40.0,24.13,22.18,24.25,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,WINNING STRIKES,D104,7,70.73,K C Leung,P O'Sullivan,129.0,1086.0,5,7 8 7,11.0,24.17,22.74,23.82,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,DASHING GRACE,C513,8,70.89,H T Mo,T P Yung,110.0,1056.0,9,11 11 8,155.0,24.65,22.58,23.66,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,CHUNGHWA JINGSHEN,D148,9,71.08,A Hamelin,L Ho,127.0,1135.0,4,5 5 9,20.0,23.97,22.46,24.65,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,ATHENA,D103,10,71.84,H Bentley,C H Yip,130.0,999.0,3,9 9 10,42.0,24.21,22.82,24.81,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,GOLDEN MISSION,C106,11,72.21000000000001,J Moreira,C W Chang,122.0,1137.0,12,4 7 11,3.2,23.89,22.9,25.42,,,
Sha Tin,2021/05/16,1,Class 5,1200,ALL WEATHER TRACK,GOOD,SUPREME PATROL,C300,12,72.76,A Badel,D E Ferraris,128.0,1236.0,11,8 12 12,6.4,24.17,23.1,25.49,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,DIAMOND BRILLIANT,B372,1,68.74,Z Purton,T P Yung,133.0,1211.0,2,2 2 1,2.4,24.04,22.2,22.5,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,WHISKEY NEAT,D150,2,68.8,K H Chan,C Fownes,124.0,1172.0,9,1 1 2,15.0,23.84,22.32,22.64,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,SO AWESOME,D258,3,68.95,K Teetan,Y S Tsui,123.0,1037.0,4,4 4 3,5.8,24.2,22.4,22.35,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,SPARKLING STAR,D007,4,69.0,A Hamelin,W Y So,122.0,1102.0,7,10 9 4,18.0,24.72,22.28,22.0,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,TOUCH FAITH,E153,5,69.1,J Moreira,J Size,126.0,1123.0,1,3 3 5,4.0,24.04,22.36,22.7,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,IRON KING,C133,6,69.31,M F Poon,C H Yip,115.0,1096.0,11,11 11 6,25.0,24.76,22.36,22.19,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,ISLAND SUNSHINE,E063,7,69.33,R Maia,K W Lui,121.0,1158.0,3,5 5 7,26.0,24.24,22.36,22.73,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,VIGOR CHAMP,C498,8,69.35,H Bentley,P F Yiu,126.0,999.0,12,6 6 8,11.0,24.36,22.4,22.59,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,TRAVEL GLORY,E170,9,69.42,H N Wong,Y S Tsui,119.0,1021.0,10,12 12 9,60.0,24.92,22.36,22.14,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,HEARTY WISH,E343,10,69.59,A Badel,D J Whyte,126.0,1045.0,5,7 7 10,17.0,24.48,22.36,22.75,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,RUBY STARS,D317,11,69.63,H W Lai,K L Man,114.0,1021.0,6,8 8 11,131.0,24.52,22.48,22.63,,,
Sha Tin,2021/05/16,2,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,HEROIC CHAMPION,E292,12,70.53,K C Leung,P O'Sullivan,126.0,1117.0,8,9 10 12,68.0,24.56,22.48,23.49,,,
Sha Tin,2021/05/16,3,Class 4,1200,"TURF - ""C+3"" Course",GOOD TO FIRM,MASTER EIGHT,E330,1,68.4,J Moreira,F C Lor,125.0,1169.0,9,1 1 1,1.7,24.09,22.11,22.2,,,
