track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,LITTLE BIRD,B069,1,70.26,C Schofield,K L Man,133.0,1178.0,9,5 4 1,9.7,23.34,22.48,24.44,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,THE ELITES,D330,2,70.26,V Borges,F C Lor,114.0,1055.0,1,8 5 2,25.0,23.58,22.24,24.44,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,REGENCY GEM,C035,3,70.44,A Badel,W Y So,132.0,1150.0,6,12 12 3,9.6,24.66,22.32,23.46,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,GENERAL TRUMP,B394,4,70.51,M Chadwick,T P Yung,128.0,1159.0,7,3 2 4,5.1,23.26,22.4,24.85,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,MASTERWORK,C334,5,70.88,H N Wong,Y S Tsui,122.0,1176.0,11,1 1 5,6.2,22.98,22.44,25.46,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,FOREVER CITY,D239,6,71.12,K C Leung,P O'Sullivan,133.0,1257.0,5,10 8 6,12.0,23.94,22.28,24.9,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,HOLYSHOWCASING,E171,7,71.26,L Ferraris,D E Ferraris,130.0,1050.0,8,4 6 7,10.0,23.26,22.56,25.44,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,CHUNGHWA JINGSHEN,D148,8,71.38,K Teetan,L Ho,128.0,1153.0,10,2 3 8,9.8,23.18,22.52,25.68,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,E HONEY,E088,9,71.47,J Moreira,C Fownes,124.0,1065.0,3,7 7 9,12.0,23.5,22.56,25.41,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,OURGOLDENRULES,E050,10,71.51,C L Chau,D J Whyte,120.0,1104.0,2,9 10 10,29.0,23.86,22.52,25.13,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,ZELUS,E186,11,71.83,H T Mo,C W Chang,123.0,1048.0,12,11 11 11,39.0,24.18,22.56,25.09,,,
Sha Tin,2021/10/10,1,Class 5,1200,ALL WEATHER TRACK,WET SLOW,GARLIC HERO,D160,12,71.92,B Shinn,C H Yip,126.0,1025.0,4,6 9 12,5.0,23.5,22.76,25.66,,,
Sha Tin,2021/10/10,2,Class 4,1000,"TURF - ""A+3"" Course",GOOD TO YIELDING,SPARKLING KNIGHT,C201,1,56.1,K H Chan,C H Yip,122.0,1175.0,14,1 1 1,2.5,13.06,20.59,22.45,,,
Sha Tin,2021/10/10,2,Class 4,1000,"TURF - ""A+3"" Course",GOOD TO YIELDING,AMAZING ROCKY,D356,2,56.36,C Wong,T P Yung,128.0,1129.0,3,2 2 2,23.0,13.06,20.63,22.67,,,
Sha Tin,2021/10/10,2,Class 4,1000,"TURF - ""A+3"" Course",GOOD TO YIELDING,CARRY THE DIAMOND,D122,3,56.59,M F Poon,R Gibson,114.0,1161.0,11,10 5 3,8.5,13.26,20.67,22.66,,,
Sha Tin,2021/10/10,2,Class 4,1000,"TURF - ""A+3"" Course",GOOD TO YIELDING,SHOWINA,E251,4,56.85,K C Leung,W Y So,131.0,1045.0,4,9 7 4,42.0,13.26,20.79,22.8,,,
Sha Tin,2021/10/10,2,Class 4,1000,"TURF - ""A+3"" Course",GOOD TO YIELDING,SMART IDEA,E344,5,56.89,K Teetan,F C Lor,124.0,1060.0,9,7 3 5,5.5,13.22,20.59,23.08,,,
Sha Tin,2021/10/10,2,Class 4,1000,"TURF - ""A+3"" Course",GOOD TO YIELDING,CHICKEN DANCE,C099,6,57.05,A Hamelin,P O'Sullivan,133.0,1213.0,5,4 8 6,15.0,13.18,20.99,22.88,,,
