track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,WINDICATOR FAMILY,H419,1,99.78,M F Poon,D J Hall,128.0,979.0,8,9 10 10 1,11.0,29.34,23.36,23.48,23.6,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,SMILING EMPEROR,J371,2,99.78999999999999,L Hewitson,K H Ting,135.0,1172.0,2,3 4 3 2,16.0,28.66,23.4,23.36,24.37,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,VERBIER,J187,3,100.1,L Ferraris,C Fownes,125.0,1233.0,11,1 1 1 3,5.9,28.34,23.48,23.2,25.08,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,TRADITION,J111,4,100.18,H Bentley,Y S Tsui,133.0,1060.0,5,7 6 5 4,7.1,29.14,23.28,23.32,24.44,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,CALIFORNIA MOXIE,J131,5,100.4,H Bowman,A S Cruz,132.0,1097.0,7,2 2 2 5,1.8,28.54,23.36,23.16,25.34,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,EN PERFECTO,J409,6,100.44,A Badel,C S Shum,134.0,1081.0,4,8 8 7 6,15.0,29.14,23.4,23.48,24.42,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,SKYEY BLUE,J212,7,100.46000000000001,K C Leung,C W Chang,132.0,1016.0,3,5 5 6 7,70.0,28.78,23.52,23.64,24.52,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,HARRY'S HERO,H332,8,100.57,B Thompson,P F Yiu,127.0,1065.0,10,10 9 9 8,15.0,29.42,23.24,23.48,24.43,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,SOLAR GOGO,H390,9,100.83,C L Chau,T P Yung,128.0,1180.0,9,4 3 4 9,30.0,28.74,23.2,23.64,25.25,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,MILES AWAY,J221,10,101.31,B Avdulla,J Richards,132.0,1086.0,1,6 7 8 10,30.0,29.06,23.36,23.64,25.25,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,MR ALADDIN,H386,WV-A,,J Orman,P C Ng,126.0,,,---,,,,,,,
Happy Valley,2025/03/19,1,Class 5,1650,"TURF - ""B"" Course",GOOD TO FIRM,SUPERB MOVE,G304,WV,,K Teetan,C H Yip,115.0,,,---,,,,,,,
Happy Valley,2025/03/19,2,Class 3,1000,"TURF - ""B"" Course",GOOD TO FIRM,COLOURFUL KING,K227,1,56.26,A Atzeni,D Eustace,126.0,1095.0,1,3 3 1,6.4,12.94,20.91,22.41,,,
Happy Valley,2025/03/19,2,Class 3,1000,"TURF - ""B"" Course",GOOD TO FIRM,YOUTHFUL SPIRITS,J082,2,56.26,L Ferraris,M Newnham,135.0,1072.0,7,1 1 2,1.9,12.66,20.63,22.97,,,
Happy Valley,2025/03/19,2,Class 3,1000,"TURF - ""B"" Course",GOOD TO FIRM,CELESTIAL COLOURS,H362,3,56.45,H Bowman,J Richards,135.0,1155.0,3,2 2 3,7.0,12.82,20.83,22.8,,,
Happy Valley,2025/03/19,2,Class 3,1000,"TURF - ""B"" Course",GOOD TO FIRM,WATCH THIS ONE,K268,4,56.63,M F Poon,P C Ng,122.0,1118.0,6,4 4 4,16.0,13.1,20.99,22.54,,,
