track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,WINS ALL,C388,1,57.6,K Teetan,W Y So,129.0,1092.0,1,5 3 1,6.3,13.04,21.61,22.95,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,GOUTEN OF GARO,A291,2,57.94,N Callan,D E Ferraris,128.0,1114.0,2,1 1 2,4.9,12.84,21.61,23.49,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,FLYING MONKEY,T361,3,58.07,A Badel,T P Yung,117.0,1087.0,10,4 6 3,13.0,13.04,21.97,23.06,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,AURORA STEED,C023,4,58.15,Z Purton,C Fownes,123.0,1117.0,11,6 10 4,5.5,13.08,22.13,22.94,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,BEAUT BEAUT,A315,5,58.29,C L Chau,L Ho,123.0,1146.0,5,9 5 5,7.8,13.24,21.65,23.4,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,LA BOMBA,B143,6,58.52,J Moreira,K L Man,120.0,1071.0,12,11 11 6,6.9,13.56,21.81,23.15,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,SHOW MISSION,T436,7,58.53,M Chadwick,C W Chang,118.0,1108.0,7,12 12 7,14.0,13.72,21.73,23.08,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,APOLLOS BOW,C384,8,58.56,C Wong,Y S Tsui,122.0,1170.0,9,2 4 8,25.0,12.96,21.93,23.67,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,MASTERWORK,C334,9,58.62,H W Lai,Y S Tsui,129.0,1153.0,4,10 9 9,73.0,13.44,21.73,23.45,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,HARBOUR ALERT,T254,10,58.65,M F Poon,C W Chang,114.0,1288.0,3,3 2 10,22.0,12.96,21.61,24.08,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,YEE CHEONG LUCKY,B357,11,58.7,A Hamelin,A T Millard,130.0,1077.0,8,8 8 11,11.0,13.2,21.89,23.61,,,
Happy Valley,2020/09/09,1,Class 5,1000,"TURF - ""B"" Course",GOOD,ISLAND WINNER,C088,12,58.73,K C Leung,P F Yiu,127.0,1243.0,6,7 7 12,13.0,13.12,21.93,23.68,,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,FAITHFUL TRINITY,A247,1,100.08,V Borges,W Y So,116.0,1086.0,6,1 2 1 1,8.3,28.11,25.09,23.95,22.93,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,CHARITY GRAND,B358,2,100.25999999999999,Z Purton,C S Shum,123.0,1084.0,1,5 6 6 2,5.5,28.59,25.09,23.95,22.63,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,LADY FIRST,B013,3,100.39,N Callan,A S Cruz,121.0,1026.0,2,3 3 3 3,4.4,28.31,25.09,23.95,23.04,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,UNIVERSAL GO GO,B132,4,100.75,C Y Ho,K W Lui,126.0,1090.0,9,4 4 4 4,4.7,28.35,25.09,24.03,23.28,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,PERFECT TO PLAY,B095,5,100.84,J Moreira,C Fownes,125.0,1035.0,3,7 7 7 5,4.7,28.79,25.09,23.91,23.05,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,ELECTRIC LIGHTNING,A189,6,100.86,A Badel,D E Ferraris,123.0,1060.0,5,8 8 8 6,17.0,28.91,25.05,23.91,22.99,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,EVEN KEEL,C442,7,100.9,K C Leung,A T Millard,120.0,1005.0,4,6 5 5 7,18.0,28.59,25.05,23.91,23.35,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,RIGHT HONOURABLE,A164,8,101.00999999999999,C Schofield,R Gibson,133.0,1020.0,11,11 12 11 8,27.0,29.39,25.01,23.67,22.94,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,INDIGENOUS STAR,A081,9,101.67,M F Poon,C W Chang,124.0,1051.0,7,10 11 12 9,36.0,29.15,25.13,23.95,23.44,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,BIG BANG BONG,V186,10,102.00999999999999,K Teetan,C W Chang,125.0,1093.0,8,9 10 9 10,17.0,29.07,25.09,23.83,24.02,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,HAR HAR HEART,A224,11,102.17,M Chadwick,T P Yung,122.0,1195.0,12,12 9 10 11,74.0,29.39,24.69,23.91,24.18,,
Happy Valley,2020/09/09,2,Class 4,1650,"TURF - ""B"" Course",GOOD,BULB ELITE,A183,12,102.9,H N Wong,C H Yip,115.0,1168.0,10,2 1 2 12,54.0,28.15,24.97,24.19,25.59,,
Happy Valley,2020/09/09,3,Class 4,1000,"TURF - ""B"" Course",GOOD,MOMENTUM GALAXY,C275,1,57.04,K C Leung,K H Ting,125.0,996.0,6,6 6 1,29.0,12.95,21.31,22.78,,,
Happy Valley,2020/09/09,3,Class 4,1000,"TURF - ""B"" Course",GOOD,NEXTMODEL,D015,2,57.16,Z Purton,T P Yung,133.0,1165.0,11,1 1 2,2.4,12.51,21.31,23.34,,,
Happy Valley,2020/09/09,3,Class 4,1000,"TURF - ""B"" Course",GOOD,WILD WEST WING,C381,3,57.26,J Moreira,J Size,120.0,1051.0,4,3 3 3,4.7,12.79,21.27,23.2,,,
Happy Valley,2020/09/09,3,Class 4,1000,"TURF - ""B"" Course",GOOD,G UNIT,C329,4,57.43,C Schofield,D A Hayes,132.0,1030.0,5,2 2 4,6.9,12.67,21.31,23.45,,,
Happy Valley,2020/09/09,3,Class 4,1000,"TURF - ""B"" Course",GOOD,WINNING WAYS,B332,5,57.53,M Chadwick,C S Shum,118.0,1203.0,12,7 7 5,41.0,12.99,21.51,23.03,,,
Happy Valley,2020/09/09,3,Class 4,1000,"TURF - ""B"" Course",GOOD,SEVENTH SEA,D134,6,57.59,A Badel,D E Ferraris,125.0,1015.0,7,11 10 6,49.0,13.31,21.51,22.77,,,
Happy Valley,2020/09/09,3,Class 4,1000,"TURF - ""B"" Course",GOOD,FORZA ANGEL,B333,7,57.65,K Teetan,Y S Tsui,127.0,1034.0,9,4 4 7,6.9,12.79,21.27,23.59,,,
Happy Valley,2020/09/09,3,Class 4,1000,"TURF - ""B"" Course",GOOD,FOR FUN'S SAKE,D242,8,57.89,C Wong,C Fownes,110.0,1041.0,8,5 5 8,53.0,12.83,21.43,23.63,,,
