track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,ERNEST FEELING,E209,1,70.2,A Hamelin,J Richards,134.0,1218.0,2,6 5 1,9.3,24.12,23.0,23.08,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,HAPPY TANGO,D075,2,70.55,L Hewitson,Y S Tsui,128.0,1222.0,8,2 2 2,11.0,23.68,23.08,23.79,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,FIRE BALL,D087,3,70.6,B Avdulla,C H Yip,128.0,1036.0,6,9 7 3,9.9,24.36,23.0,23.24,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,FIGHTING STAR,E255,4,70.71000000000001,K Teetan,C H Yip,126.0,1080.0,12,11 10 4,27.0,24.72,22.92,23.07,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,CHARMING STEED,E494,5,70.87,K H Chan,C Fownes,127.0,1095.0,5,4 3 5,4.0,23.88,23.04,23.95,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,NORDIC COMBINED,G015,6,71.0,A Badel,W Y So,132.0,1076.0,9,12 11 6,7.7,24.92,22.88,23.2,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,ISLAND SURPRISE,E429,7,71.12,M Chadwick,K L Man,133.0,1147.0,11,7 6 7,30.0,24.24,22.92,23.96,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,BRILLIANT PIONEER,G255,8,71.22,A Atzeni,P F Yiu,127.0,1054.0,3,5 9 8,6.6,24.12,23.4,23.7,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,EASY TWO,G423,9,71.34,K C Leung,K H Ting,125.0,1054.0,7,10 8 9,40.0,24.52,22.88,23.94,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,MODEST GENTLEMAN,G352,10,71.35,M L Yeung,K W Lui,130.0,1051.0,10,3 4 10,16.0,23.84,23.08,24.43,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,DAY DAY RICH,D231,11,71.61,C L Chau,T P Yung,120.0,1061.0,1,1 1 11,5.1,23.52,23.08,25.01,,,
Happy Valley,2023/11/22,1,Class 5,1200,"TURF - ""C"" Course",GOOD,MISTER ARM,D491,12,71.66,H T Mo,Y S Tsui,118.0,1038.0,4,8 12 12,26.0,24.32,23.52,23.82,,,
Happy Valley,2023/11/22,2,Class 5,1650,"TURF - ""C"" Course",GOOD,SPLENDID STAR,G026,1,100.87,K Teetan,D J Whyte,132.0,1096.0,3,8 10 10 1,4.0,28.33,23.66,24.56,24.32,,
