track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,GOD OF DRAGON,B108,1,122.37,C L Chau,D J Whyte,128.0,1076.0,5,6 6 7 8 1,7.6,27.03,24.48,24.4,23.52,22.94,
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,EZRA,C056,2,122.43,K Teetan,A T Millard,133.0,1142.0,11,10 10 8 7 2,7.3,27.39,24.4,24.16,23.44,23.04,
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,JOYFUL HEART,C227,3,122.44,Z Purton,F C Lor,130.0,1144.0,4,7 5 6 5 3,9.7,27.15,24.32,24.28,23.4,23.29,
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,AWE,D168,4,122.45,A Hamelin,D A Hayes,128.0,1050.0,1,3 3 4 4 4,7.8,26.75,24.44,24.4,23.4,23.46,
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,DAILY CHARM,D398,5,122.73,M Chadwick,C S Shum,116.0,1094.0,7,2 2 2 2 5,9.1,26.59,24.48,24.4,23.4,23.86,
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,RED ELYSEES,A005,6,122.77,M F Poon,K L Man,122.0,1163.0,8,8 9 10 10 6,15.0,27.27,24.48,24.48,23.36,23.18,
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,KUNGFUMASTER PANDA,C153,7,122.91,K C Leung,P O'Sullivan,124.0,1114.0,9,9 8 9 9 7,8.7,27.31,24.44,24.32,23.52,23.32,
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,TAILOR MADE,C522,8,123.42,M L Yeung,C Fownes,118.0,1082.0,6,1 1 1 1 8,12.0,26.47,24.44,24.44,23.48,24.59,
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,GO GO SIXTEEN,E244,9,123.66,A Badel,K W Lui,119.0,1247.0,2,4 4 3 3 9,13.0,26.75,24.56,24.24,23.44,24.67,
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,DRAGON COMMANDER,C208,10,125.79,J Moreira,Y S Tsui,126.0,1078.0,3,5 7 5 6 10,4.3,26.99,24.52,24.2,23.52,26.56,
Sha Tin,2021/10/17,1,Class 4,2000,"TURF - ""B+2"" Course",GOOD,NUREMBERG,C369,11,126.87,H N Wong,A S Cruz,116.0,1071.0,10,11 11 11 11 11,23.0,27.67,24.4,24.36,23.76,26.68,
Sha Tin,2021/10/17,2,Class 4,1400,"TURF - ""B+2"" Course",GOOD,CHEERFUL DAYS,D473,1,81.75,Z Purton,K W Lui,132.0,1177.0,8,9 8 7 1,10.0,14.07,21.12,23.12,23.44,,
Sha Tin,2021/10/17,2,Class 4,1400,"TURF - ""B+2"" Course",GOOD,HEARTY WISH,E343,2,81.85,C L Chau,D J Whyte,116.0,1036.0,13,13 13 13 2,87.0,14.55,21.52,22.68,23.1,,
