track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,LUCKY FUN,E013,1,69.96000000000001,Z Purton,C S Shum,129.0,1150.0,4,2 2 1,1.8,24.04,22.66,23.26,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,ZONE D,D415,2,70.21000000000001,J Moreira,J Size,129.0,1034.0,12,12 10 2,15.0,25.08,22.22,22.91,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,BRANDING POWER,E030,3,70.33,C Y Ho,K W Lui,129.0,1053.0,5,6 5 3,4.0,24.44,22.54,23.35,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,SILVERY WARRIOR,D509,4,70.61,N Callan,R Gibson,129.0,1056.0,6,8 8 4,75.0,24.52,22.62,23.47,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,UNIVERSAL CROWN,D240,5,70.75,C L Chau,D J Whyte,115.0,1088.0,8,10 12 5,25.0,24.96,22.54,23.25,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,SUNDAY BETTING,E064,6,70.78999999999999,B Shinn,C Fownes,126.0,1160.0,10,11 11 6,54.0,25.08,22.26,23.45,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,MISTER ARM,D491,7,70.94,H T Mo,Y S Tsui,126.0,1027.0,9,1 1 7,34.0,23.84,22.78,24.32,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,FOREVER CITY,D239,8,71.18,V Borges,P O'Sullivan,129.0,1299.0,11,9 7 8,11.0,24.6,22.54,24.04,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,STRATHMARTINE,D246,9,71.4,C Schofield,A T Millard,129.0,1079.0,1,4 4 9,27.0,24.24,22.74,24.42,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,ON EXCEL STAR,C356,10,71.76,K C Leung,C H Yip,128.0,1151.0,7,3 3 10,14.0,24.2,22.7,24.86,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,CRUCIATUS,C206,11,71.93,H N Wong,C W Chang,115.0,1113.0,2,5 6 11,75.0,24.32,22.74,24.87,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,COMFORT LIFE,B169,12,72.68,A Hamelin,K L Man,125.0,1156.0,3,7 9 12,18.0,24.52,22.66,25.5,,,
Sha Tin,2021/01/10,1,Class 4,1200,"TURF - ""C"" Course",GOOD,DIAMOND PIXIU,E112,WV,,K Teetan,P F Yiu,129.0,,,---,,,,,,,
Sha Tin,2021/01/10,2,Class 5,1400,"TURF - ""C"" Course",GOOD,COPARTNER ERA,C534,1,83.07,A Badel,W Y So,132.0,1106.0,3,8 6 7 1,7.6,13.98,21.89,23.62,23.58,,
Sha Tin,2021/01/10,2,Class 5,1400,"TURF - ""C"" Course",GOOD,CITY LEGEND,A086,2,83.16,C L Chau,T P Yung,124.0,1051.0,8,7 7 6 2,12.0,13.94,21.93,23.62,23.67,,
Sha Tin,2021/01/10,2,Class 5,1400,"TURF - ""C"" Course",GOOD,CALIFORNIA LEGEND,B363,3,83.43,C Soumillon,A S Cruz,130.0,1126.0,11,4 5 5 3,2.8,13.7,21.97,23.7,24.06,,
Sha Tin,2021/01/10,2,Class 5,1400,"TURF - ""C"" Course",GOOD,GENERAL CASTLEDALE,C350,4,83.6,N Callan,P O'Sullivan,122.0,1077.0,10,12 10 10 4,156.0,14.34,21.97,23.34,23.95,,
