track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,RUN RUN GOOD,D310,1,99.67,K Teetan,K L Man,120.0,1194.0,7,10 10 6 1,11.0,28.33,22.67,24.13,24.54,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,REGENCY GEM,C035,2,99.72999999999999,M F Poon,W Y So,116.0,1221.0,1,4 5 3 2,17.0,27.85,22.79,24.25,24.84,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,EL VALIENTE,D124,3,99.8,L Ferraris,C Fownes,127.0,1140.0,4,9 8 7 3,8.3,28.17,22.71,24.25,24.67,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,COLOURFUL BARON,G301,4,99.91,H Bowman,R Gibson,134.0,1095.0,12,8 7 4 4,5.4,28.13,22.67,24.13,24.98,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,MEDIC ELITE,G129,5,100.15,A Badel,P C Ng,131.0,1094.0,2,2 1 1 5,15.0,27.29,22.91,24.01,25.94,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,FORTUNE MARBO,G177,6,100.28,L Hewitson,T P Yung,117.0,1255.0,6,7 9 9 6,8.6,28.13,22.83,24.45,24.87,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,WAH MAY LUCK,E086,7,100.33,H Bentley,Y S Tsui,120.0,1156.0,5,5 4 2 7,13.0,27.89,22.71,24.09,25.64,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,GOLD COMET,D306,8,100.37,V Borges,C H Yip,126.0,1015.0,13,12 12 11 8,29.0,28.45,22.83,24.33,24.76,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,SPEED FORCE,C535,9,100.43,S De Sousa,C W Chang,116.0,1081.0,8,11 11 10 9,22.0,28.41,22.75,24.33,24.94,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,SIMPLE DOCTRINE,E180,10,100.44,H T Mo,C W Chang,114.0,1105.0,10,14 14 12 10,138.0,28.65,22.75,24.29,24.75,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,JUBILATION,G029,11,100.55,Z Purton,L Ho,130.0,1090.0,3,6 6 8 11,3.5,27.93,22.87,24.45,25.3,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,LUCKY VICTOR,C514,12,101.5,Y L Chung,K H Ting,125.0,1206.0,9,3 3 5 12,8.9,27.65,22.83,24.61,26.41,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,WIN WIN CHARITY,G248,13,105.52000000000001,C Y Ho,K W Lui,132.0,1124.0,14,13 13 14 13,50.0,28.57,22.83,25.21,28.91,,
Sha Tin,2023/01/29,1,Class 5,1650,ALL WEATHER TRACK,GOOD,U W BROTHER,C389,14,105.64,C Wong,Y S Tsui,121.0,1171.0,11,1 2 13 14,68.0,27.21,23.11,25.41,29.91,,
Sha Tin,2023/01/29,2,Class 4,1650,ALL WEATHER TRACK,GOOD,SKYEY SUPREME,C293,1,99.24000000000001,Y L Chung,K W Lui,124.0,1213.0,3,1 1 1 1,6.1,28.56,23.89,23.1,23.69,,
