track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,ELIGERE,C473,1,69.05,Z Purton,Y S Tsui,131.0,1042.0,6,3 3 1,2.4,24.11,22.26,22.68,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,ZACIAN,E078,2,69.32,M Chadwick,A T Millard,116.0,1085.0,10,6 6 2,14.0,24.51,22.18,22.63,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,SUNDAY BETTING,E064,3,69.43,J Moreira,C Fownes,118.0,1146.0,4,8 8 3,21.0,24.67,22.18,22.58,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,GO GO SIXTEEN,E244,4,69.6,K Teetan,K W Lui,123.0,1252.0,9,11 11 4,7.4,24.87,22.18,22.55,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,MARADO,E245,5,69.62,R Maia,P O'Sullivan,125.0,1060.0,11,9 9 5,15.0,24.79,22.06,22.77,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,CHIU CHOW BROTHER,E188,6,69.66,A Badel,T P Yung,125.0,1007.0,2,5 5 6,7.9,24.35,22.22,23.09,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,LUCKY RUBY,D338,7,69.72,K C Leung,K L Man,123.0,1090.0,3,2 2 7,5.9,24.03,22.22,23.47,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,LITTLE PLAYER,E066,8,69.73,C Schofield,D A Hayes,122.0,1097.0,5,4 4 8,11.0,24.27,22.3,23.16,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,MULTIPOWER,E213,9,70.02,M L Yeung,A S Cruz,115.0,1035.0,7,7 7 9,155.0,24.59,22.18,23.25,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,FANTASTIC FABIO,V364,10,70.11,C Wong,C H Yip,111.0,1175.0,1,1 1 10,19.0,23.99,22.22,23.9,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,THE ELITES,D330,11,70.36,C Y Ho,F C Lor,117.0,1065.0,12,12 12 11,140.0,25.03,22.22,23.11,,,
Sha Tin,2021/05/08,1,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,GLADSOME RYDER,E033,12,71.38,M F Poon,R Gibson,116.0,1124.0,8,10 10 12,32.0,24.79,22.22,24.37,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,KWAI CHUNG ELITE,C173,1,69.58,C Schofield,K H Ting,119.0,1097.0,1,5 4 1,27.0,24.44,22.21,22.93,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,GOLDEN MISSION,C106,2,69.59,T Piccone,C W Chang,121.0,1136.0,9,2 1 2,10.0,24.28,22.17,23.14,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,ALLOY STAR,D053,3,69.73,Z Purton,T P Yung,128.0,1058.0,2,8 6 3,4.5,24.68,22.17,22.88,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,VIVA MAMA,D408,4,69.76,M F Poon,L Ho,121.0,1234.0,6,1 2 4,14.0,24.24,22.21,23.31,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,ONE STEP AHEAD,C242,5,69.77,J Moreira,P O'Sullivan,118.0,1000.0,8,11 10 5,8.0,24.84,22.17,22.76,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,UNIVERSAL CROWN,D240,6,69.88,C L Chau,D J Whyte,128.0,1081.0,12,12 12 6,9.8,24.84,22.37,22.67,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,REGENCY POET,D010,7,69.95,M Chadwick,K L Man,131.0,1239.0,10,3 3 7,14.0,24.36,22.25,23.34,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,FOX CHEUNGER,B187,8,70.09,K C Leung,K W Lui,125.0,992.0,5,10 9 8,38.0,24.8,22.17,23.12,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,ONE HAPPY STAR,C486,9,70.14,K H Chan,C H Yip,125.0,1059.0,11,7 5 9,9.3,24.6,22.13,23.41,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,WONDER BRAHMA,C525,10,70.42,K Teetan,C Fownes,118.0,1071.0,4,9 11 10,4.4,24.68,22.37,23.37,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,SHANGHAI POWER,D097,11,70.69,C Y Ho,Y S Tsui,120.0,1014.0,3,4 7 11,8.6,24.44,22.41,23.84,,,
Sha Tin,2021/05/08,2,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,ANONYMA,C496,12,70.76,V Borges,D E Ferraris,132.0,1054.0,7,6 8 12,46.0,24.44,22.53,23.79,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,FIRST RESPONDER,C205,1,68.99,C L Chau,D J Whyte,128.0,1157.0,11,1 1 1,10.0,23.68,22.62,22.69,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,SEASONS BLISS,E146,2,69.09,C Schofield,K H Ting,125.0,1262.0,2,9 9 2,2.1,24.48,22.5,22.11,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,PEGASUS GLORY,D337,3,69.16,K C Leung,Y S Tsui,132.0,1115.0,3,4 3 3,5.4,24.08,22.42,22.66,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,WINNING BREW,C521,4,69.4,C Y Ho,F C Lor,132.0,1036.0,1,8 6 4,12.0,24.32,22.54,22.54,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,DIVINE REGULUS,D475,5,69.52,A Badel,W Y So,131.0,1110.0,4,6 5 5,9.9,24.24,22.54,22.74,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,CORDYCEPS KING,E083,6,69.59,M F Poon,C S Shum,123.0,1084.0,9,10 10 6,77.0,24.48,22.54,22.57,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,TELECOM PUMA,C181,7,69.71000000000001,T Piccone,C Fownes,124.0,1144.0,8,3 4 7,32.0,24.0,22.66,23.05,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,CORDYCEPS ONE,E107,8,69.87,A Hamelin,K W Lui,123.0,1095.0,5,11 11 8,80.0,24.72,22.46,22.69,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,GOOD LUCK MONEY,D227,9,69.96000000000001,V Borges,C H Yip,114.0,1055.0,10,7 7 9,129.0,24.32,22.58,23.06,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,AMAZEMENT,D492,10,70.03,J Moreira,J Size,125.0,1138.0,7,12 12 10,19.0,24.88,22.34,22.81,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,SHENRON,E284,11,71.14,Z Purton,D A Hayes,125.0,1120.0,6,2 2 11,7.0,23.88,22.58,24.68,,,
Sha Tin,2021/05/08,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,GALLANT CAVALIER,E238,12,71.42,H Bentley,A T Millard,123.0,1120.0,12,5 8 12,36.0,24.12,22.82,24.48,,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,KUNG FU TEA,C136,1,82.03,Z Purton,D J Hall,132.0,1115.0,6,7 7 5 1,2.4,13.81,21.75,23.19,23.28,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,SPEEDY DRAGON,B185,2,82.07,H W Lai,K L Man,123.0,1091.0,1,5 5 2 2,17.0,13.73,21.67,23.03,23.64,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,BIG BANG BONG,V186,3,82.28999999999999,T Piccone,C W Chang,125.0,1108.0,2,8 9 4 3,13.0,13.97,21.67,22.95,23.7,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,JOY MASTER,B222,4,82.34,C Y Ho,C Fownes,126.0,1090.0,5,12 10 9 4,21.0,14.01,21.75,23.23,23.35,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,SPICY GRILL,D159,5,82.44,J Moreira,K W Lui,124.0,971.0,4,6 6 3 5,3.3,13.77,21.63,23.19,23.85,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,HAPPY HOUR,B286,6,82.47,M Chadwick,C H Yip,118.0,1133.0,3,10 8 6 6,26.0,14.01,21.63,23.15,23.68,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,ALLOY KING,D287,7,82.64,A Hamelin,K H Ting,123.0,1066.0,12,14 12 7 7,11.0,14.29,21.55,22.99,23.81,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,MOON PEAKS,C403,8,82.65,H Bentley,Y S Tsui,129.0,1158.0,7,2 1 1 8,17.0,13.61,21.55,23.15,24.34,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,AMAZING LUCK,B401,9,82.67,K C Leung,P O'Sullivan,131.0,1229.0,9,13 13 12 9,21.0,14.09,21.75,23.27,23.56,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,MANY GAINS,C515,10,83.34,V Borges,L Ho,125.0,1003.0,14,9 11 14 10,82.0,13.97,21.83,23.51,24.03,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,MONEYMORE,B182,11,83.36,M L Yeung,D A Hayes,125.0,1088.0,11,4 4 10 11,75.0,13.69,21.63,23.75,24.29,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,LUCKY TURBO,D400,12,83.39,M F Poon,A S Cruz,117.0,1300.0,10,11 14 13 12,138.0,14.01,21.99,23.31,24.08,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,GO BALLISTIC,C493,13,85.56,C Schofield,D E Ferraris,127.0,1158.0,13,3 3 8 13,23.0,13.69,21.59,23.63,26.65,,
Sha Tin,2021/05/08,4,Class 5,1400,"TURF - ""C"" Course",GOOD TO FIRM,HAPPY RUBY,D313,14,85.83,C Wong,A T Millard,118.0,1068.0,8,1 2 11 14,150.0,13.57,21.67,23.83,26.76,,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,RED ELYSEES,A005,1,107.63,H Bentley,K L Man,122.0,1170.0,2,7 7 8 6 1,16.0,14.2,22.16,23.93,24.14,23.2,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,SWOT TROOPERS WIND,D101,2,107.82,K C Leung,D J Hall,117.0,1143.0,1,6 5 4 4 2,5.2,14.12,22.08,23.85,24.18,23.59,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,STUNNING IMPACT,C366,3,107.82,M F Poon,P O'Sullivan,114.0,1034.0,13,11 14 14 12 3,21.0,14.52,22.8,23.61,23.82,23.07,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,AWE,D168,4,108.1,Z Purton,D A Hayes,130.0,1052.0,3,10 8 6 7 4,4.5,14.44,22.16,23.65,24.18,23.67,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,EL JEFE,C466,5,108.35,J Moreira,C H Yip,128.0,1124.0,10,8 9 10 10 5,3.8,14.24,22.4,23.89,24.06,23.76,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,CHEEKY PRAWN,D378,6,108.6,V Borges,J Size,115.0,1115.0,14,3 6 7 8 6,124.0,14.0,22.2,24.05,24.3,24.05,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,ZHAN JIANG ROCKS,B406,7,108.66,H W Lai,W Y So,128.0,1080.0,9,12 13 11 14 7,68.0,14.6,22.68,23.37,24.22,23.79,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,NUNCHUKS,C357,8,108.71000000000001,K H Chan,C Fownes,121.0,1020.0,11,13 12 13 13 8,56.0,14.64,22.52,23.73,23.9,23.92,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,YES WE CAN,C307,9,108.8,C Schofield,T P Yung,119.0,1263.0,12,9 11 12 9 9,14.0,14.44,22.48,23.77,23.86,24.25,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,EXALTATION,C370,10,108.83,M L Yeung,A S Cruz,113.0,1024.0,7,14 10 9 11 10,58.0,14.68,22.2,23.57,24.14,24.24,
Sha Tin,2021/05/08,5,Class 4,1800,"TURF - ""C"" Course",GOOD TO FIRM,FULL POWER,C426,11,108.94,C L Chau,R Gibson,124.0,1090.0,5,1 2 2 3 11,14.0,13.92,22.04,23.85,24.34,24.79,
