track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,CHARMING STEED,E494,1,99.35,C Y Ho,C Fownes,124.0,1091.0,4,3 3 3 1,4.2,28.36,23.41,24.45,23.13,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,EAGLE RUN,G415,2,99.75,Y L Chung,A S Cruz,110.0,1150.0,7,2 2 2 2,12.0,28.28,23.33,24.41,23.73,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,ASIAN ONE,E400,3,99.96000000000001,H Bowman,J Richards,128.0,1107.0,2,6 6 5 3,6.1,28.68,23.45,24.29,23.54,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,GREEN LASER,E409,4,100.18,M L Yeung,W Y So,115.0,1119.0,1,9 8 7 4,18.0,28.96,23.45,24.17,23.6,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,M M NEBULA,G279,5,100.18,M Chadwick,P C Ng,129.0,1121.0,13,12 12 12 5,11.0,29.24,23.45,24.29,23.2,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,CASA LEGEND,G126,6,100.47,M F Poon,C W Chang,122.0,1171.0,10,11 11 13 6,27.0,29.12,23.49,24.45,23.41,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,SUPERB MOVE,G304,7,100.61,E C W Wong,C H Yip,118.0,1101.0,14,8 9 9 7,9.9,28.92,23.49,24.37,23.83,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,NOBLE WIN,H195,8,100.64,Z Purton,J Size,135.0,1178.0,3,10 10 8 8,5.6,28.96,23.53,24.25,23.9,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,ALL IS READY,G042,9,100.72,L Hewitson,M Newnham,120.0,1217.0,12,4 4 4 9,36.0,28.48,23.49,24.37,24.38,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,COOL BLUE,H011,10,101.41,K Teetan,F C Lor,134.0,1053.0,6,7 7 6 10,8.1,28.76,23.49,24.29,24.87,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,FORTUNE PRESIDENT,G054,11,101.53,B Avdulla,Y S Tsui,132.0,1063.0,8,14 14 14 11,38.0,29.44,23.45,24.37,24.27,,
Sha Tin,2024/04/20,1,Class 5,1650,ALL WEATHER TRACK,GOOD,CHIRON,E151,12,101.67,K C Leung,D A Hayes,122.0,1148.0,11,13 13 11 12,14.0,29.32,23.45,24.17,24.73,,
