track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,SUCCESS ALLSTARS,D065,1,108.33,K Teetan,D E Ferraris,122.0,976.0,9,11 10 8 6 1,5.4,14.39,22.31,23.56,24.34,23.73,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,WEALTHY EMPLOYEE,D252,2,108.36,C Schofield,K H Ting,120.0,1076.0,10,12 12 12 8 2,7.6,14.55,22.63,23.36,24.22,23.6,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,SHINEALOT,C046,3,108.59,V Borges,P O'Sullivan,121.0,1068.0,5,8 9 10 9 3,12.0,14.11,22.43,23.8,24.5,23.75,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,GENERAL DINO,A193,4,108.63,H W Lai,D J Whyte,114.0,1039.0,3,7 4 3 3 4,6.6,14.03,22.07,23.68,24.38,24.47,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,GRAND POWER,E017,5,108.65,T Piccone,C W Chang,128.0,1044.0,1,1 1 1 1 5,107.0,13.71,22.15,23.6,24.46,24.73,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,PERFECT TO PLAY,B095,6,108.81,J Moreira,C Fownes,133.0,1040.0,8,9 7 5 4 6,3.8,14.23,22.11,23.64,24.38,24.45,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,RIGHTEOUS WIN,D146,7,109.08,H Bentley,P F Yiu,123.0,1102.0,4,2 2 4 5 7,5.5,13.79,22.23,23.8,24.54,24.72,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,SHANGHAI GRACE,D190,8,109.32,C Wong,Y S Tsui,121.0,1052.0,12,6 3 2 2 8,24.0,13.95,22.07,23.6,24.5,25.2,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,HAY RUN,V337,9,109.41,K C Leung,L Ho,131.0,1132.0,7,10 11 11 12 9,17.0,14.27,22.67,23.6,24.58,24.29,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,GOLD 'N' BOLD,D079,10,111.35,A Hamelin,W Y So,129.0,1166.0,2,5 6 7 11 10,29.0,13.95,22.35,23.84,24.78,26.43,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,LIGHT MY DAY,C505,11,111.57,B Shinn,C H Yip,130.0,1267.0,11,4 8 9 10 11,37.0,13.87,22.51,23.92,24.62,26.65,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,VIRTUS STAR,B395,12,114.08,C Y Ho,F C Lor,125.0,1063.0,6,3 5 6 7 12,17.0,13.79,22.39,23.88,24.62,29.4,
Happy Valley,2021/07/14,1,Class 5,1800,"TURF - ""B"" Course",GOOD TO FIRM,EVEN KEEL,C442,WV,,H T Mo,A T Millard,114.0,,,---,,,,,,,
Happy Valley,2021/07/14,2,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,SHANGHAI POWER,D097,1,56.97,C Wong,Y S Tsui,115.0,996.0,2,2 1 1,3.9,12.93,21.18,22.86,,,
Happy Valley,2021/07/14,2,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,CHUNGHWA JINGSHEN,D148,2,57.01,K Teetan,L Ho,127.0,1140.0,11,4 3 2,7.5,12.97,21.38,22.66,,,
Happy Valley,2021/07/14,2,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,WINNING WARRIOR,C185,3,57.28,V Borges,K L Man,114.0,1090.0,7,7 7 3,33.0,13.25,21.58,22.45,,,
Happy Valley,2021/07/14,2,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,FLYING MONKEY,T361,4,57.28,K C Leung,T P Yung,120.0,1087.0,8,1 2 4,5.3,12.89,21.38,23.01,,,
Happy Valley,2021/07/14,2,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,E HONEY,E088,5,57.38,J Moreira,C Fownes,132.0,1100.0,10,10 8 5,8.3,13.61,21.38,22.39,,,
