track,race_date,race_number,race_class,distance,course_type,track_condition,class_max_rating,place_dividends,quinella_dividend,qpl_dividends,win_dividend,horse_number,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,horse_rating,gear,jockey_allowance,incident_report,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2026/06/24,1,Class 5,2200,"TURF - ""A"" Course",GOOD,40,"3:14.5, 4:63.0, 10:31.0",486.0,"3,4:155.0, 3,10:61.0, 4,10:310.0",32.0,3,ROSEWOOD FLEETFOOT,J524,1,136.62,K Teetan,P F Yiu,133.0,1117.0,10,9 10 9 4 2 1,3.2,,,0,Jumped awkwardly.  Shortly after the start was steadied to avoid MR ALADDIN when taken out by ROSEWOOD FLEETFOOT.  Was left racing very wide and without cover passing the 700 Metres.  A veterinary inspection immediately following the race did not show any significant findings.,15.06,23.48,24.26,24.45,24.13,25.24
Happy Valley,2026/06/24,1,Class 5,2200,"TURF - ""A"" Course",GOOD,40,"3:14.5, 4:63.0, 10:31.0",486.0,"3,4:155.0, 3,10:61.0, 4,10:310.0",32.0,4,GOLDEN FORTUNE,K500,2,136.81,H Bowman,K L Man,129.0,1218.0,8,1 1 1 1 1 2,22.0,,,0,,14.3,22.96,24.66,25.17,24.25,25.47
Happy Valley,2026/06/24,1,Class 5,2200,"TURF - ""A"" Course",GOOD,40,"3:14.5, 4:63.0, 10:31.0",486.0,"3,4:155.0, 3,10:61.0, 4,10:310.0",32.0,10,DRAGON SUNRISE,J269,3,136.81,L Hewitson,K W Lui,117.0,986.0,6,3 4 6 10 6 3,10.0,,,0,,14.46,23.44,24.58,25.09,24.29,24.95
Happy Valley,2026/06/24,1,Class 5,2200,"TURF - ""A"" Course",GOOD,40,"3:14.5, 4:63.0, 10:31.0",486.0,"3,4:155.0, 3,10:61.0, 4,10:310.0",32.0,8,PERFECT PAIRING,J331,4,137.02,B Avdulla,J Size,124.0,1017.0,5,10 9 10 8 4 4,6.8,,,0,,15.14,23.24,24.66,24.41,24.17,25.4
Happy Valley,2026/06/24,1,Class 5,2200,"TURF - ""A"" Course",GOOD,40,"3:14.5, 4:63.0, 10:31.0",486.0,"3,4:155.0, 3,10:61.0, 4,10:310.0",32.0,5,TELECOM POWER,J332,5,137.28,C L Chau,Y S Tsui,126.0,1056.0,2,6 6 5 7 8 5,9.5,,,0,"Jumped awkwardly, shifted out and made contact with TELECOM POWER.  Near the 2000 Metres FOREVER GLORIOUS shifted in and away from MR ALADDIN, resulting in TELECOM POWER being taken in onto CHATEAU LE PECHE which was crowded. Near the 2000 Metres shifted in and away from MR ALADDIN and made contact with TELECOM POWER.  Near the 1800 Metres was steadied to avoid MR ALADDIN (A Badel) which shifted in when not quite clear.  A Badel as advised to ensure that he is sufficiently clear when shifting ground.  Raced wide and without cover until near the 800 Metres.  The performance of FOREVER GLORIOUS, which finished tailed out, was considered unacceptable.  Before being allowed to race again, FOREVER GLORIOUS will be required to perform to the satisfaction of the Stewards in a barrier trial and be subjected to an official veterinary examination.  A veterinary inspection immediately following the race did not show any significant findings.",14.74,23.32,24.34,25.05,24.69,25.14
Happy Valley,2026/06/24,1,Class 5,2200,"TURF - ""A"" Course",GOOD,40,"3:14.5, 4:63.0, 10:31.0",486.0,"3,4:155.0, 3,10:61.0, 4,10:310.0",32.0,11,CHATEAU LE PECHE,H471,6,137.61,M L Yeung,K H Ting,115.0,1055.0,1,7 7 8 12 11 6,18.0,,,0,"On jumping was crowded between CHATEAU LE PECHE and SMART BEAUTY.  Crowded near the 2000 Metres. Jumped awkwardly, shifted out and made contact with TELECOM POWER.  Near the 2000 Metres FOREVER GLORIOUS shifted in and away from MR ALADDIN, resulting in TELECOM POWER being taken in onto CHATEAU LE PECHE which was crowded.",14.78,23.36,24.62,24.97,24.85,25.03
Happy Valley,2026/06/24,1,Class 5,2200,"TURF - ""A"" Course",GOOD,40,"3:14.5, 4:63.0, 10:31.0",486.0,"3,4:155.0, 3,10:61.0, 4,10:310.0",32.0,6,CARRYON SMILING,J392,7,137.75,Z Purton,C S Shum,127.0,1109.0,9,2 2 3 6 5 7,6.6,,,0,,14.3,23.24,24.66,25.09,24.33,26.13
Happy Valley,2026/06/24,1,Class 5,2200,"TURF - ""A"" Course",GOOD,40,"3:14.5, 4:63.0, 10:31.0",486.0,"3,4:155.0, 3,10:61.0, 4,10:310.0",32.0,2,HAILTOTHEVICTORS,J508,8,137.93,J Moreira,D Eustace,134.0,1125.0,7,11 11 12 11 12 8,9.4,,,0,J Moreira stated that his instructions were to be in a more forward position but his mount did not show pace in the early stages despite his efforts to do so.  He added that HAILTOTHEVICTORS failed to run on when asked for an effort in the Home Straight.  A veterinary inspection immediately following the race did not show any significant findings.,15.22,23.4,24.66,24.45,24.85,25.35
Happy Valley,2026/06/24,1,Class 5,2200,"TURF - ""A"" Course",GOOD,40,"3:14.5, 4:63.0, 10:31.0",486.0,"3,4:155.0, 3,10:61.0, 4,10:310.0",32.0,9,SMART BEAUTY,G477,9,138.2,Y L Chung,A S Cruz,116.0,1122.0,3,8 8 7 3 3 9,12.0,,,0,"Bumped on jumping.  Commenced a forward move from the 900 Metres and raced wide and without cover thereafter.  Near the 450 Metres shifted in and made contact with SMART BEAUTY.  Sent for sampling post-race. On jumping was crowded between CHATEAU LE PECHE and SMART BEAUTY.  Crowded near the 2000 Metres. Near the 700 Metres was steadied when momentarily crowded by FOREVER GLORIOUS which shifted in before being corrected by its rider.  A short distance later MR ALADDIN was again steadied when FOREVER GLORIOUS was taken in slightly by SMART BEAUTY.  A Badel was fined the sum of $7,500 for returning 3 lbs overweight.",14.98,23.28,24.38,24.57,24.25,26.74
Happy Valley,2026/06/24,1,Class 5,2200,"TURF - ""A"" Course",GOOD,40,"3:14.5, 4:63.0, 10:31.0",486.0,"3,4:155.0, 3,10:61.0, 4,10:310.0",32.0,12,MR ALADDIN,H386,10,138.94,A Badel,P C Ng,118.0,1101.0,12,4 3 2 5 9 10,44.0,,,0,"Jumped awkwardly, shifted out and made contact with TELECOM POWER.  Near the 2000 Metres FOREVER GLORIOUS shifted in and away from MR ALADDIN, resulting in TELECOM POWER being taken in onto CHATEAU LE PECHE which was crowded. Near the 700 Metres was steadied when momentarily crowded by FOREVER GLORIOUS which shifted in before being corrected by its rider.  A short distance later MR ALADDIN was again steadied when FOREVER GLORIOUS was taken in slightly by SMART BEAUTY.  A Badel was fined the sum of $7,500 for returning 3 lbs overweight. Jumped awkwardly.  Shortly after the start was steadied to avoid MR ALADDIN when taken out by ROSEWOOD FLEETFOOT.  Was left racing very wide and without cover passing the 700 Metres.  A veterinary inspection immediately following the race did not show any significant findings. Near the 2000 Metres shifted in and away from MR ALADDIN and made contact with TELECOM POWER.  Near the 1800 Metres was steadied to avoid MR ALADDIN (A Badel) which shifted in when not quite clear.  A Badel as advised to ensure that he is sufficiently clear when shifting ground.  Raced wide and without cover until near the 800 Metres.  The performance of FOREVER GLORIOUS, which finished tailed out, was considered unacceptable.  Before being allowed to race again, FOREVER GLORIOUS will be required to perform to the satisfaction of the Stewards in a barrier trial and be subjected to an official veterinary examination.  A veterinary inspection immediately following the race did not show any significant findings.",14.58,23.2,24.3,25.17,25.09,26.6
