track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2021/10/20,1,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,ALLOY KING,D287,1,69.17,A Hamelin,K H Ting,123.0,1096.0,3,3 3 1,7.3,23.46,22.56,23.15,,,
Happy Valley,2021/10/20,1,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,DAY DAY RICH,D231,2,69.42,B Shinn,T P Yung,127.0,1024.0,1,1 1 2,5.7,23.22,22.56,23.64,,,
Happy Valley,2021/10/20,1,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,GOODMANSHIP,E208,3,69.68,J Moreira,D J Whyte,132.0,1164.0,9,4 4 3,7.8,23.58,22.64,23.46,,,
Happy Valley,2021/10/20,1,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,SUNNY SMILE,D074,4,69.73,C L Chau,D E Ferraris,117.0,992.0,7,12 12 4,27.0,24.3,22.72,22.71,,,
Happy Valley,2021/10/20,1,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,MUDITA,E085,5,69.74,K Teetan,P O'Sullivan,133.0,1096.0,2,6 5 5,9.4,23.7,22.56,23.48,,,
Happy Valley,2021/10/20,1,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,WHO LOVES THE ACE,E267,6,69.74,L Ferraris,C Fownes,132.0,1146.0,11,11 10 6,23.0,24.26,22.6,22.88,,,
Happy Valley,2021/10/20,1,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,SHANGHAI POWER,D097,7,69.76,M F Poon,Y S Tsui,130.0,1029.0,8,2 2 7,7.1,23.42,22.6,23.74,,,
Happy Valley,2021/10/20,1,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,GOLDEN MISSION,C106,8,69.84,H Bentley,C W Chang,118.0,1149.0,10,8 9 8,6.3,23.86,22.84,23.14,,,
Happy Valley,2021/10/20,1,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,WHO'S HORSE,C233,9,69.93,M Chadwick,W Y So,116.0,1166.0,4,9 7 9,14.0,23.98,22.52,23.43,,,
Happy Valley,2021/10/20,1,Class 5,1200,"TURF - ""C"" Course",GOOD TO FIRM,FANTASTIC FABIO,V364,10,70.82,Z Purton,C H Yip,132.0,1205.0,12,5 6 10,11.0,23.62,22.84,24.36,,,
