track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2020/01/19,1,Class 4,2000,"TURF - ""A+3"" Course",GOOD,MAGNETISM,V114,1,122.73,Z Purton,D E Ferraris,133.0,1120.0,7,4 4 5 4 1,11.0,26.92,24.38,23.84,23.53,24.06,
Sha Tin,2020/01/19,1,Class 4,2000,"TURF - ""A+3"" Course",GOOD,GOOD DAYS,A333,2,122.85,K C Leung,C S Shum,119.0,1113.0,8,6 6 7 6 2,22.0,27.12,24.42,23.8,23.57,23.94,
Sha Tin,2020/01/19,1,Class 4,2000,"TURF - ""A+3"" Course",GOOD,LONDON HALL,B026,3,122.86,J Moreira,D J Hall,129.0,1106.0,9,9 9 8 8 3,2.7,27.64,24.54,23.32,23.49,23.87,
Sha Tin,2020/01/19,1,Class 4,2000,"TURF - ""A+3"" Course",GOOD,ABOVE,B345,4,122.89,S De Sousa,J Moore,126.0,1017.0,3,3 2 2 2 4,3.0,26.8,24.26,23.56,23.77,24.5,
Sha Tin,2020/01/19,1,Class 4,2000,"TURF - ""A+3"" Course",GOOD,MURRAY'S PARTNERS,B426,5,122.93,M F Poon,C H Yip,119.0,1088.0,5,1 1 1 1 5,18.0,26.6,24.26,23.68,23.85,24.54,
Sha Tin,2020/01/19,1,Class 4,2000,"TURF - ""A+3"" Course",GOOD,BULLISH GLORY,A118,6,123.0,G van Niekerk,C W Chang,122.0,1123.0,4,8 8 9 9 6,17.0,27.4,24.46,23.68,23.49,23.97,
Sha Tin,2020/01/19,1,Class 4,2000,"TURF - ""A+3"" Course",GOOD,VILLA FIONN,B339,7,123.06,T Piccone,P F Yiu,127.0,1013.0,10,10 10 10 10 7,6.4,27.92,24.5,23.32,23.45,23.87,
Sha Tin,2020/01/19,1,Class 4,2000,"TURF - ""A+3"" Course",GOOD,PRESIDENT STAR,C170,8,123.1,C Y Ho,C S Shum,117.0,1059.0,6,2 3 4 5 8,23.0,26.68,24.38,23.8,24.01,24.23,
Sha Tin,2020/01/19,1,Class 4,2000,"TURF - ""A+3"" Course",GOOD,EXALTATION,C370,9,123.29,K Teetan,A S Cruz,130.0,1031.0,2,7 7 6 7 9,41.0,27.16,24.54,23.6,23.61,24.38,
Sha Tin,2020/01/19,1,Class 4,2000,"TURF - ""A+3"" Course",GOOD,TANGMERE,B432,10,123.29,N Callan,C Fownes,131.0,1070.0,1,5 5 3 3 10,16.0,27.04,24.34,23.44,23.77,24.7,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,UNDEFEATED,D054,1,69.48,H N Wong,K W Lui,122.0,1225.0,2,1 1 1,7.3,23.65,22.21,23.62,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,POWER KING,C420,2,69.5,J Moreira,A S Cruz,127.0,1145.0,11,6 7 2,3.2,24.01,22.33,23.16,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,SPARKLING STAR,D007,3,69.71000000000001,Z Purton,W Y So,125.0,1086.0,10,10 8 3,4.8,24.37,22.25,23.09,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,MOON PEAKS,C403,4,69.78,H W Lai,K L Man,123.0,1156.0,5,5 3 4,7.6,23.97,22.25,23.56,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,INCANTO PREPARED,D009,5,69.96000000000001,G van Niekerk,J Size,123.0,988.0,9,11 13 5,48.0,24.49,22.45,23.02,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,EPTIWINS,B362,6,69.98,T Piccone,L Ho,121.0,1108.0,4,14 14 6,9.6,24.73,22.25,23.0,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,SPONTANEOUS,D106,7,69.99,B Shinn,P O'Sullivan,125.0,1182.0,13,13 11 7,11.0,24.65,22.09,23.25,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,MIGHTY VALOR,C338,8,70.01,C Y Ho,P F Yiu,121.0,1144.0,7,7 6 8,16.0,24.17,22.17,23.67,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,ONE HAPPY STAR,C486,9,70.41,T H So,C H Yip,121.0,1051.0,3,9 9 9,122.0,24.33,22.37,23.71,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,MELBOURNE HALL,D118,10,70.44,H Bowman,D J Hall,130.0,1058.0,8,2 2 10,15.0,23.69,22.41,24.34,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,LITTLE THUNDER,C453,11,70.89,M F Poon,A T Millard,118.0,1137.0,12,3 4 11,16.0,23.81,22.49,24.59,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,VICTORY FOR ALL,C342,12,71.02,K H Chan,Y S Tsui,113.0,1001.0,6,4 5 12,64.0,23.89,22.41,24.72,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,STRONG PROMISE,C527,13,71.86,K C Leung,T P Yung,130.0,1067.0,14,12 12 13,235.0,24.61,22.21,25.04,,,
Sha Tin,2020/01/19,2,Class 4,1200,"TURF - ""A+3"" Course",GOOD,FLYING EMPEROR,C156,14,72.3,H T Mo,C W Chang,115.0,1004.0,1,8 10 14,347.0,24.29,22.45,25.56,,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,SONIC FIGHTER,A187,1,94.72999999999999,N Callan,P O'Sullivan,130.0,1072.0,7,7 6 5 1,12.0,25.01,23.29,23.38,23.05,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,TELECOM ROCKET,C137,2,94.75999999999999,G van Niekerk,Y S Tsui,124.0,1070.0,2,6 7 7 2,4.2,24.97,23.45,23.42,22.92,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,CHEERFUL LEADER,C394,3,94.93,J Moreira,P F Yiu,129.0,1061.0,5,2 3 3 3,2.0,24.53,23.41,23.58,23.41,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,WITNESS HUNTER,B421,4,95.17,K Teetan,F C Lor,122.0,1217.0,11,3 2 2 4,28.0,24.53,23.29,23.58,23.77,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,GALA NIGHT,C331,5,95.33,K C Leung,J Moore,118.0,1134.0,3,5 5 6 5,67.0,24.77,23.41,23.54,23.61,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,LEAP OF FAITH,C386,6,95.41,Z Purton,J Size,131.0,1083.0,4,4 4 4 6,5.6,24.77,23.29,23.54,23.81,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,PARTY EVERYDAY,C414,7,95.61,T Piccone,A S Cruz,122.0,1105.0,10,14 14 14 7,13.0,26.37,23.21,23.5,22.53,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,JOY MASTER,B222,8,95.68,B Shinn,C Fownes,122.0,1102.0,6,11 11 10 8,31.0,26.01,23.29,23.18,23.2,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,INVALUABLE,D091,9,95.72999999999999,C Y Ho,R Gibson,126.0,1300.0,13,10 10 11 9,32.0,25.61,23.41,23.46,23.25,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,CHIU CHOW KID,T412,10,95.96000000000001,H N Wong,T P Yung,115.0,1183.0,1,13 13 13 10,62.0,26.21,23.37,23.22,23.16,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,SMILING SUCCESS,C250,11,96.0,H W Lai,K H Ting,115.0,1212.0,9,1 1 1 11,306.0,24.29,23.45,23.62,24.64,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,GOOD RUNNERS WAY,C127,12,96.09,H T Mo,C S Shum,113.0,1090.0,8,9 9 9 12,185.0,25.41,23.33,23.54,23.81,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,MILLENNIUM DAWN,C459,13,96.12,M F Poon,L Ho,125.0,1151.0,12,8 8 8 13,344.0,25.29,23.37,23.62,23.84,,
Sha Tin,2020/01/19,3,Class 4,1600,"TURF - ""A+3"" Course",GOOD,HURRICANE HUNTER,A123,14,96.28999999999999,T H So,C H Yip,114.0,1159.0,14,12 12 12 14,311.0,26.17,23.17,23.46,23.49,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,CIRCUIT THREE,B360,1,82.0,K Teetan,A S Cruz,133.0,1116.0,8,10 10 10 1,4.5,14.23,21.8,22.87,23.1,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,MIGHTY GIANT,C470,2,82.12,H W Lai,P F Yiu,133.0,1224.0,6,6 4 3 2,6.6,13.91,21.4,22.91,23.9,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,FANTASTIC SHOW,A207,3,82.12,J Moreira,Y S Tsui,120.0,1087.0,14,14 14 13 3,4.0,14.55,21.96,22.83,22.78,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,VITAL SPRING,A057,4,82.19,C Y Ho,K W Lui,122.0,1166.0,4,9 9 9 4,12.0,14.11,21.88,22.91,23.29,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,CARE FREE PRINCE,V069,5,82.39,S De Sousa,K L Man,126.0,1175.0,10,1 1 1 5,30.0,13.59,21.36,23.03,24.41,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,DESTIN,V417,6,82.41,K C Leung,P O'Sullivan,126.0,1154.0,5,12 12 11 6,17.0,14.31,21.96,22.95,23.19,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,MOMENTUM HAPPY,C423,7,82.61,T Piccone,T P Yung,124.0,1081.0,9,8 6 4 7,32.0,13.95,21.6,22.99,24.07,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,BREEZE OF SPRING,C309,8,82.67,T H So,L Ho,123.0,1041.0,13,11 13 14 8,30.0,14.27,22.08,23.27,23.05,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,SUPREME PLUS,C252,9,82.77,K H Chan,F C Lor,108.0,1108.0,11,2 2 2 9,59.0,13.59,21.48,22.99,24.71,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,DAILY BEAUTY,D070,10,83.08,Z Purton,C Fownes,127.0,1177.0,2,5 8 8 10,4.3,13.87,21.92,23.07,24.22,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,SWOT TROOPERS WIND,D101,11,83.24,B Shinn,D J Hall,127.0,1151.0,1,7 7 7 11,127.0,13.91,21.84,23.07,24.42,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,BLAZING PARTNERS,B071,12,83.78,L Hewitson,D E Ferraris,118.0,1092.0,12,13 11 12 12,86.0,14.51,21.68,23.11,24.48,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,GORGEOUS INHERITOR,D080,13,84.02,M F Poon,C H Yip,125.0,1179.0,3,4 5 6 13,286.0,13.79,21.68,23.19,25.36,,
Sha Tin,2020/01/19,4,Class 4,1400,"TURF - ""A+3"" Course",GOOD,WAR LORD,C113,14,87.81,G van Niekerk,J Size,132.0,1129.0,7,3 3 5 14,11.0,13.63,21.56,23.39,29.23,,
Sha Tin,2020/01/19,5,Group One,1600,"TURF - ""A+3"" Course",GOOD,WAIKUKU,C150,1,93.03999999999999,J Moreira,J Size,126.0,1126.0,7,7 7 6 1,1.5,25.25,22.69,22.72,22.38,,
Sha Tin,2020/01/19,5,Group One,1600,"TURF - ""A+3"" Course",GOOD,BEAUTY GENERATION,V380,2,93.07,Z Purton,J Moore,126.0,1142.0,1,1 1 1 2,2.8,24.49,22.65,23.12,22.81,,
Sha Tin,2020/01/19,5,Group One,1600,"TURF - ""A+3"" Course",GOOD,KA YING STAR,C198,3,93.75,K Teetan,A S Cruz,126.0,1115.0,3,2 2 2 3,15.0,24.57,22.65,23.12,23.41,,
Sha Tin,2020/01/19,5,Group One,1600,"TURF - ""A+3"" Course",GOOD,RATTAN,A061,4,93.89,C Y Ho,R Gibson,126.0,1155.0,2,4 3 3 4,33.0,24.73,22.65,23.12,23.39,,
Sha Tin,2020/01/19,5,Group One,1600,"TURF - ""A+3"" Course",GOOD,CITRON SPIRIT,T286,5,93.93,S De Sousa,P F Yiu,126.0,1048.0,6,6 5 7 5,38.0,25.17,22.49,23.08,23.19,,
