track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,LUCKY BLESSING,K073,1,99.71000000000001,M F Poon,W K Mo,130.0,1073.0,3,1 1 1 1,7.6,27.51,23.59,24.43,24.18,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,APOLAR FIGHTER,J169,2,99.72999999999999,C L Chau,D Eustace,130.0,1049.0,5,6 6 5 2,3.7,28.07,23.47,24.51,23.68,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,DRACO,J115,3,99.85,Z Purton,B Crawford,127.0,1201.0,7,9 9 9 3,3.3,28.35,23.51,24.43,23.56,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,STAR BROSE,J463,4,99.9,H Bowman,D A Hayes,135.0,1194.0,12,12 12 12 4,10.0,29.51,23.11,23.91,23.37,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,PERFECTO MOMENTS,J003,5,99.92,M L Yeung,K H Ting,121.0,1148.0,1,3 3 3 5,8.1,27.79,23.55,24.47,24.11,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,DRAGON SUNRISE,J269,6,99.96000000000001,K De Melo,K W Lui,126.0,998.0,9,10 10 10 6,28.0,28.51,23.47,24.35,23.63,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,FOREMOST TEDDY,J058,7,100.22999999999999,J McDonald,C S Shum,123.0,1206.0,6,8 8 7 7,11.0,28.23,23.55,24.43,24.02,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,VERBIER,J187,8,100.43,M Chadwick,C Fownes,129.0,1251.0,4,2 2 2 8,20.0,27.67,23.59,24.39,24.78,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,SILVER KING,H420,9,100.50999999999999,K C Leung,F C Lor,121.0,1154.0,11,11 11 11 9,66.0,29.11,23.27,24.07,24.06,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,ATOMIC BEAUTY,H066,10,101.07,A Atzeni,A S Cruz,134.0,1242.0,8,7 7 6 10,20.0,28.15,23.51,24.47,24.94,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,HANDSOME BOMB,H402,11,101.49000000000001,L Ferraris,W Y So,134.0,1070.0,2,5 5 4 11,21.0,27.91,23.55,24.51,25.52,,
Happy Valley,2025/11/12,1,Class 5,1650,"TURF - ""A"" Course",GOOD,HANDSOME BLOND,K241,12,103.97999999999999,Y L Chung,C H Yip,130.0,1085.0,10,4 4 8 12,115.0,27.87,23.59,24.79,27.73,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,DOUBLE BINGO,J309,1,69.68,M F Poon,Y S Tsui,121.0,1109.0,2,8 6 1,7.8,24.03,22.41,23.24,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,RIDING HIGH,J403,2,69.7,H Bowman,D J Whyte,131.0,1092.0,4,2 2 2,4.2,23.59,22.45,23.66,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,KING ALLOY,K099,3,69.73,R Kingscote,K H Ting,135.0,1189.0,5,1 1 3,11.0,23.47,22.45,23.81,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,GOOD PROSPECT,J406,4,69.82,K C Leung,B Crawford,133.0,1082.0,8,9 8 4,22.0,24.23,22.41,23.18,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,CHILL MASTER,J319,5,69.91,C L Chau,K L Man,131.0,1006.0,6,10 9 5,45.0,24.23,22.41,23.27,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,HAPPY BOYS,J545,6,69.91,L Hewitson,M Newnham,135.0,1043.0,9,12 11 6,18.0,24.43,22.49,22.99,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,TALENTS SUPREMO,H133,7,69.92,Z Purton,C S Shum,133.0,1108.0,7,7 5 7,3.6,24.03,22.41,23.48,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,MAJESTIC DELIGHT,K189,8,70.05,L Ferraris,D Eustace,135.0,1184.0,3,4 3 8,15.0,23.79,22.41,23.85,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,RICH HORSE,J191,9,70.64,J Orman,D J Hall,134.0,995.0,11,11 10 9,119.0,24.39,22.53,23.72,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,SKY SONG,J159,10,70.66,E C W Wong,C Fownes,128.0,1122.0,1,3 4 10,4.9,23.75,22.49,24.42,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,BEAUTY FORMULA,K066,11,72.71000000000001,Y L Chung,A S Cruz,130.0,1245.0,12,5 12 11,104.0,23.87,23.09,25.75,,,
Happy Valley,2025/11/12,2,Class 5,1200,"TURF - ""A"" Course",GOOD,NOBLE DELUXE,K052,12,73.42,J McDonald,J Size,129.0,1180.0,10,6 7 12,12.0,23.95,22.53,26.94,,,
Happy Valley,2025/11/12,3,Class 4,1650,"TURF - ""A"" Course",GOOD TO FIRM,BEAUTY GLORY,E459,1,99.21000000000001,Y L Chung,A S Cruz,130.0,1175.0,2,1 1 1 1,6.5,27.22,23.43,24.27,24.29,,
Happy Valley,2025/11/12,3,Class 4,1650,"TURF - ""A"" Course",GOOD TO FIRM,BULL ATTITUDE,K305,2,99.28,Z Purton,M Newnham,126.0,1081.0,7,6 7 7 2,3.9,28.06,23.63,23.99,23.6,,
Happy Valley,2025/11/12,3,Class 4,1650,"TURF - ""A"" Course",GOOD TO FIRM,AEROINVINCIBLE,J180,3,99.32,C Y Ho,P C Ng,129.0,1110.0,5,3 4 4 3,7.5,27.58,23.51,24.27,23.96,,
Happy Valley,2025/11/12,3,Class 4,1650,"TURF - ""A"" Course",GOOD TO FIRM,AMAZING GAZE,K444,4,99.32,L Hewitson,D A Hayes,129.0,1106.0,1,7 6 5 4,4.0,28.06,23.35,24.03,23.88,,
Happy Valley,2025/11/12,3,Class 4,1650,"TURF - ""A"" Course",GOOD TO FIRM,CALIFORNIA BANNER,J132,5,99.44,M Chadwick,W K Mo,126.0,1158.0,9,2 2 2 5,14.0,27.34,23.55,24.23,24.32,,
Happy Valley,2025/11/12,3,Class 4,1650,"TURF - ""A"" Course",GOOD TO FIRM,REWARDING TWINKLE,J368,6,99.55,K C Leung,F C Lor,119.0,1089.0,4,4 3 3 6,9.1,27.62,23.39,24.15,24.39,,
