track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,NUREMBERG,C369,1,135.98,N Callan,A S Cruz,133.0,1042.0,4,1 1 1 1 1 1,5.2,14.07,23.32,24.7,24.88,24.74,24.27
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,HAY RUN,V337,2,136.0,K C Leung,L Ho,132.0,1107.0,1,4 3 3 3 2 2,15.0,14.35,23.44,24.58,24.88,24.7,24.05
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,YOUNG GLORY,B292,3,136.37,M Chadwick,D E Ferraris,113.0,1245.0,7,9 7 8 8 8 3,12.0,14.95,23.8,24.34,24.72,24.66,23.9
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,THE JOY OF GIVING,A249,4,136.38,A Hamelin,C W Chang,118.0,1017.0,2,5 5 6 5 6 4,7.0,14.43,23.8,24.46,24.88,24.66,24.15
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,AMAZING AGILITY,V192,5,136.43,K Teetan,L Ho,132.0,987.0,11,8 11 11 12 10 5,17.0,14.95,24.12,24.42,24.6,24.46,23.88
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,SKY GEM,C251,6,136.45,C Y Ho,C Fownes,130.0,1223.0,3,6 6 7 7 7 6,4.5,14.63,23.8,24.38,24.88,24.7,24.06
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,ENJOYABLE SUCCESS,B150,7,136.52,H W Lai,Y S Tsui,115.0,1052.0,8,10 10 10 11 11 7,35.0,15.07,23.96,24.34,24.64,24.7,23.81
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,SOCKET ELITE,C362,8,136.55,M F Poon,C H Yip,121.0,1053.0,5,3 4 5 4 4 8,7.2,14.19,23.6,24.78,24.84,24.78,24.36
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,JOLLY FOREVER,D331,9,136.82,H N Wong,W Y So,120.0,1102.0,10,7 8 9 10 12 9,30.0,14.83,24.0,24.34,24.76,24.82,24.07
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,FORTUNE PATROL,A245,10,137.24,J Moreira,A T Millard,120.0,1047.0,12,12 12 12 9 3 10,5.0,15.39,23.88,24.42,24.16,24.3,25.09
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,JOY N FUN LEGEND,D012,11,138.95,M L Yeung,T P Yung,114.0,1140.0,9,11 9 4 6 9 11,27.0,15.27,23.6,23.7,25.04,24.94,26.4
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,CAN'T TOUCH THIS,D255,12,138.96,C Schofield,K H Ting,127.0,1020.0,6,2 2 2 2 5 12,59.0,14.11,23.32,24.86,24.84,25.06,26.77
Happy Valley,2021/03/17,1,Class 5,2200,"TURF - ""C"" Course",GOOD,RIGHTEOUS WIN,D146,WV,,V Borges,P F Yiu,126.0,,,---,,,,,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,H Z TOURBILLON,E149,1,69.24,K Teetan,C S Shum,125.0,1025.0,1,8 5 1,14.0,24.16,22.44,22.64,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,WINS ALL,C388,2,69.65,Z Purton,W Y So,123.0,1103.0,2,4 2 2,1.5,23.8,22.52,23.33,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,GRATWICK,B110,3,69.78999999999999,R Maia,T P Yung,126.0,1253.0,3,1 1 3,27.0,23.56,22.48,23.75,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,OFF THE REEL,E104,4,69.9,K C Leung,P F Yiu,125.0,1061.0,4,10 10 4,45.0,24.32,22.8,22.78,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,STEEL WIN,E111,5,70.06,A Hamelin,C W Chang,123.0,1140.0,12,3 4 5,92.0,23.76,22.8,23.5,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,ACA POWER,E144,6,70.23,H T Mo,Y S Tsui,128.0,1004.0,6,7 9 6,70.0,24.08,22.92,23.23,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,A LA KING,E147,7,70.24,N Callan,K H Ting,133.0,1158.0,10,6 7 7,5.2,24.0,22.8,23.44,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,MELBOURNE HALL,D118,8,70.26,A Badel,D J Hall,126.0,1042.0,5,12 8 8,10.0,24.44,22.44,23.38,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,RED IMPACT,E262,9,70.28,C Y Ho,D A Hayes,125.0,1099.0,9,11 12 9,23.0,24.44,22.88,22.96,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,GOOD LUCK MONEY,D227,10,70.77,M F Poon,C H Yip,114.0,1075.0,7,5 6 10,50.0,23.84,22.8,24.13,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,RAGING BLAZE,E258,11,71.16,J Moreira,J Size,125.0,1127.0,11,9 11 11,16.0,24.28,22.92,23.96,,,
Happy Valley,2021/03/17,2,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,ORION PATCH,D401,12,74.16,M L Yeung,K W Lui,130.0,1127.0,8,2 3 12,214.0,23.64,22.92,27.6,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,LAND POWER,C417,1,70.16,K H Chan,C Fownes,113.0,1141.0,1,3 3 1,2.7,24.75,23.15,22.26,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,INNO LEGEND,D361,2,70.17,N Callan,K L Man,124.0,1139.0,7,4 4 2,17.0,24.87,23.19,22.11,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,PEAK TO PEAK,D472,3,70.19,J Moreira,F C Lor,126.0,1093.0,4,1 1 3,2.4,24.51,23.15,22.53,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,VIVA CHEF,D411,4,70.45,K C Leung,L Ho,122.0,1092.0,6,2 2 4,10.0,24.63,23.23,22.59,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,FORTUNE HAPPINESS,B128,5,70.49,C Y Ho,K W Lui,127.0,1117.0,3,5 5 5,39.0,25.07,23.23,22.19,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,OURGOLDENRULES,E050,6,70.87,A Badel,D J Whyte,118.0,1127.0,8,6 6 6,55.0,25.15,23.23,22.49,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,MASTER ALBERT,A296,7,71.14,A Hamelin,W Y So,128.0,1141.0,12,11 10 7,29.0,25.59,23.27,22.28,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,CHAMPION PRIDE,B049,8,71.28999999999999,Z Purton,D E Ferraris,120.0,1301.0,5,12 12 8,6.5,25.79,23.27,22.23,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,GRAND POWER,E017,9,71.31,H N Wong,C W Chang,118.0,1053.0,2,7 9 9,257.0,25.31,23.43,22.57,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,FARIBAULT,D454,10,71.32,M L Yeung,P O'Sullivan,124.0,1151.0,9,8 8 10,107.0,25.39,23.27,22.66,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,AMAZING KNIGHT,D266,11,71.56,M F Poon,C H Yip,119.0,1062.0,10,9 7 11,104.0,25.47,23.15,22.94,,,
Happy Valley,2021/03/17,3,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,JUST NOT LISTENING,B192,12,71.68,K Teetan,T P Yung,133.0,1221.0,11,10 11 12,31.0,25.59,23.35,22.74,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,SPONTANEOUS,D106,1,69.81,Z Purton,P O'Sullivan,127.0,1184.0,11,1 1 1,2.5,23.93,22.98,22.9,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,GOOD SHOT,C364,2,70.0,C Schofield,D J Hall,129.0,997.0,7,6 6 2,11.0,24.49,22.94,22.57,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,MOONLUCK,E079,3,70.2,C Y Ho,K W Lui,124.0,1055.0,1,3 3 3,6.4,24.21,22.98,23.01,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,TELECOM SMART,E140,4,70.28,R Maia,Y S Tsui,131.0,1066.0,2,10 9 4,22.0,24.85,22.98,22.45,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,HAPPY GATHERING,E029,5,70.28,M Chadwick,K L Man,124.0,1074.0,6,4 4 5,34.0,24.29,22.98,23.01,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,E HONEY,E088,6,70.36,K H Chan,C Fownes,113.0,1114.0,4,5 5 6,16.0,24.41,22.98,22.97,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,SUNNY BABY,E166,7,70.44,M L Yeung,D A Hayes,124.0,1075.0,10,7 8 7,28.0,24.65,23.06,22.73,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,SUPREME PLUS,C252,8,70.64,A Badel,F C Lor,117.0,1138.0,3,8 7 8,6.9,24.65,22.98,23.01,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,COURAGEOUS DRAGON,C015,9,70.7,J Moreira,W Y So,119.0,1174.0,5,2 2 9,5.9,24.05,22.98,23.67,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,PRINCE OF BON BON,D383,10,70.93,N Callan,D E Ferraris,133.0,989.0,12,11 11 10,106.0,25.05,23.06,22.82,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,SMART HUNTER,D439,11,71.05,M F Poon,D J Whyte,117.0,1219.0,8,9 10 11,19.0,24.81,23.14,23.1,,,
Happy Valley,2021/03/17,4,Class 4,1200,"TURF - ""C"" Course",GOOD TO FIRM,CHEEKY PRAWN,D378,12,71.13,K Teetan,J Size,124.0,1116.0,9,12 12 12,26.0,25.17,23.06,22.9,,,
Happy Valley,2021/03/17,5,Class 4,1650,"TURF - ""C"" Course",GOOD TO FIRM,EVER LAUGH,A278,1,99.52000000000001,A Badel,K L Man,128.0,1183.0,10,11 10 1 1,14.0,28.35,23.67,23.48,24.02,,
