track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2023/06/18,1,Griffin Race,1000,"TURF - ""C+3"" Course",GOOD TO YIELDING,KA YING VICTORY,H287,1,55.91,Z Purton,D J Hall,121.0,1226.0,1,3 4 1,1.6,13.28,20.5,22.13,,,
Sha Tin,2023/06/18,1,Griffin Race,1000,"TURF - ""C+3"" Course",GOOD TO YIELDING,RUBY SAILING,H347,2,56.05,B Avdulla,K L Man,121.0,1153.0,7,1 1 2,12.0,13.2,20.5,22.35,,,
Sha Tin,2023/06/18,1,Griffin Race,1000,"TURF - ""C+3"" Course",GOOD TO YIELDING,CHANCHENG GLORY,H212,3,56.71,L Hewitson,K W Lui,133.0,1162.0,2,6 6 3,8.2,13.4,20.66,22.65,,,
Sha Tin,2023/06/18,1,Griffin Race,1000,"TURF - ""C+3"" Course",GOOD TO YIELDING,SONIC BOOM,H144,4,56.97,L Ferraris,K H Ting,121.0,1078.0,5,2 2 4,14.0,13.24,20.5,23.23,,,
Sha Tin,2023/06/18,1,Griffin Race,1000,"TURF - ""C+3"" Course",GOOD TO YIELDING,GALLANT VALOUR,H323,5,57.14,K Teetan,A T Millard,121.0,1110.0,8,5 5 5,12.0,13.32,20.7,23.12,,,
Sha Tin,2023/06/18,1,Griffin Race,1000,"TURF - ""C+3"" Course",GOOD TO YIELDING,KAHOLO ANGEL,H216,6,57.48,C Y Ho,C Fownes,133.0,1121.0,10,4 3 6,5.4,13.28,20.5,23.7,,,
Sha Tin,2023/06/18,1,Griffin Race,1000,"TURF - ""C+3"" Course",GOOD TO YIELDING,FLYING SHELBY,H316,7,57.82,M Dee,P F Yiu,121.0,1080.0,6,8 7 7,49.0,13.48,20.66,23.68,,,
Sha Tin,2023/06/18,1,Griffin Race,1000,"TURF - ""C+3"" Course",GOOD TO YIELDING,TELECOM DRAGON,H322,8,58.11,C L Chau,C H Yip,120.0,1028.0,3,7 8 8,59.0,13.48,20.7,23.93,,,
Sha Tin,2023/06/18,1,Griffin Race,1000,"TURF - ""C+3"" Course",GOOD TO YIELDING,BOOMBAYAH,H307,9,58.59,M F Poon,C W Chang,119.0,1044.0,4,9 9 9,62.0,13.48,20.74,24.37,,,
Sha Tin,2023/06/18,1,Griffin Race,1000,"TURF - ""C+3"" Course",GOOD TO YIELDING,DASHING SUCCESS,H152,10,60.87,M L Yeung,Y S Tsui,121.0,1137.0,9,10 10 10,86.0,13.52,21.34,26.01,,,
