track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2023/10/15,1,Class 5,2000,"TURF - ""A+3"" Course",GOOD,KYRUS UNICORN,D267,1,122.37,H Bowman,D J Hall,135.0,1105.0,5,3 5 5 3 1,7.8,26.61,24.2,23.63,23.9,24.03,
Sha Tin,2023/10/15,1,Class 5,2000,"TURF - ""A+3"" Course",GOOD,JOYFUL CHAMPION,G072,2,122.61,A Atzeni,C W Chang,122.0,1170.0,1,4 4 4 4 2,7.0,26.61,24.2,23.59,23.94,24.27,
Sha Tin,2023/10/15,1,Class 5,2000,"TURF - ""A+3"" Course",GOOD,FIERY FLYING,G090,3,122.7,K Teetan,A S Cruz,132.0,1045.0,2,6 6 7 6 3,4.5,26.81,24.24,23.67,23.78,24.2,
Sha Tin,2023/10/15,1,Class 5,2000,"TURF - ""A+3"" Course",GOOD,STARSHIP EIGHTY,H022,4,122.92,C Y Ho,P C Ng,125.0,1243.0,4,8 8 8 8 4,10.0,27.09,24.32,23.47,23.86,24.18,
Sha Tin,2023/10/15,1,Class 5,2000,"TURF - ""A+3"" Course",GOOD,GOLD STERLING,H032,5,123.07,A Badel,C H Yip,133.0,1123.0,3,7 7 6 7 5,36.0,27.01,24.12,23.51,23.9,24.53,
Sha Tin,2023/10/15,1,Class 5,2000,"TURF - ""A+3"" Course",GOOD,RING BELLS,G036,6,123.27,M L Yeung,K H Ting,117.0,1214.0,6,5 2 2 1 6,30.0,26.61,23.92,23.35,24.22,25.17,
Sha Tin,2023/10/15,1,Class 5,2000,"TURF - ""A+3"" Course",GOOD,SPLENDID STAR,G026,7,123.43,Z Purton,D J Whyte,133.0,1082.0,8,2 3 3 5 7,2.0,26.41,24.2,23.59,24.22,25.01,
Sha Tin,2023/10/15,1,Class 5,2000,"TURF - ""A+3"" Course",GOOD,LOYAL AMBITION,E489,8,123.76,E C W Wong,C Fownes,122.0,1037.0,7,1 1 1 2 8,14.0,26.33,24.12,23.35,24.42,25.54,
Sha Tin,2023/10/15,2,Class 4,1000,"TURF - ""A+3"" Course",GOOD,SUMMIT CHEERS,E221,1,57.05,H Bowman,D J Hall,130.0,1199.0,7,7 7 1,7.5,13.48,20.86,22.71,,,
Sha Tin,2023/10/15,2,Class 4,1000,"TURF - ""A+3"" Course",GOOD,MULTISUPER,G416,2,57.21,K De Melo,P F Yiu,130.0,1167.0,13,6 4 2,3.9,13.28,20.86,23.07,,,
