track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,CARRY THE DIAMOND,D122,1,56.84,L Ferraris,R Gibson,125.0,1169.0,1,2 4 1,6.0,12.73,21.27,22.84,,,
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,SPLIT OF A SECOND,B027,2,56.92,C Y Ho,W Y So,123.0,1107.0,8,8 9 2,30.0,13.21,21.23,22.48,,,
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,GOLD GOLD BABY,E220,3,56.94,R Maia,K W Lui,131.0,1255.0,6,9 11 3,61.0,13.21,21.51,22.22,,,
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,DAY DAY RICH,D231,4,57.06,L Hewitson,T P Yung,128.0,1013.0,7,1 1 4,8.1,12.61,21.19,23.26,,,
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,RAGING BLAZE,E258,5,57.08,Z Purton,J Size,120.0,1137.0,10,10 8 5,12.0,13.33,21.03,22.72,,,
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,FARM BUMPER,C244,6,57.16,K C Leung,K L Man,125.0,1144.0,9,7 7 6,21.0,13.09,21.15,22.92,,,
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,HARRIER JET,T372,7,57.24,M F Poon,P O'Sullivan,130.0,1134.0,12,11 10 7,23.0,13.33,21.35,22.56,,,
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,SUNNY AND GOLD,D177,8,57.25,K Teetan,C H Yip,130.0,1067.0,2,6 6 8,4.6,12.97,21.19,23.09,,,
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,CHUNGHWA JINGSHEN,D148,9,57.3,C L Chau,L Ho,130.0,1178.0,4,4 5 9,11.0,12.93,21.23,23.14,,,
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,WHISKEY NEAT,D150,10,57.36,J Moreira,C Fownes,130.0,1180.0,3,3 2 10,5.0,12.81,21.11,23.44,,,
Happy Valley,2022/07/13,1,Class 5,1000,"TURF - ""B"" Course",GOOD TO FIRM,EUROMISSILE,E277,11,57.54,M L Yeung,C W Chang,130.0,1009.0,11,12 12 11,62.0,13.41,21.39,22.74,,,
