track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,TRUST ME,C134,1,57.09,Z Purton,C H Yip,133.0,1107.0,9,5 4 1,4.3,13.59,20.86,22.64,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,DECISIVE TWELVE,D280,2,57.27,C Y Ho,W Y So,125.0,1127.0,13,10 5 2,2.6,13.71,20.78,22.78,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,FABULOUS EIGHT,B473,3,57.44,K Teetan,P F Yiu,125.0,1116.0,4,13 8 3,14.0,13.91,20.7,22.83,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,PRECIOUS SWEETIE,B254,4,57.5,B Shinn,L Ho,130.0,1146.0,12,9 11 4,85.0,13.71,20.98,22.81,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,REGENCY POET,D010,5,57.56,M Chadwick,K L Man,123.0,1210.0,3,11 10 5,29.0,13.79,20.9,22.87,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,EIGHT TRIGRAMS,C102,6,57.57,M F Poon,D J Hall,124.0,1118.0,5,2 1 6,19.0,13.43,20.82,23.32,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,VALIANT ELEGANCE,D285,7,57.67,J Moreira,D J Whyte,125.0,1088.0,2,4 2 7,4.5,13.51,20.86,23.3,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,HERE COMES TED,C457,8,57.68,G van Niekerk,D E Ferraris,118.0,1168.0,1,8 12 8,10.0,13.71,21.18,22.79,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,STAR SUPERIOR,V255,9,57.74,H N Wong,C W Chang,119.0,1058.0,14,12 13 9,89.0,13.87,21.06,22.81,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,SHANGHAI LAD,C396,10,57.97,M L Yeung,T P Yung,125.0,1036.0,8,6 9 10,197.0,13.63,21.02,23.32,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,DREAM TEAM,C395,11,58.05,C Schofield,A T Millard,125.0,1218.0,6,7 6 11,12.0,13.63,20.94,23.48,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,BESTA LUCK,B462,12,58.49,C Wong,R Gibson,112.0,1207.0,7,1 3 12,92.0,13.39,20.98,24.12,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,ROCKET HAMMER,C520,13,59.03,V Borges,K H Ting,125.0,998.0,11,14 14 13,241.0,14.27,21.18,23.58,,,
Sha Tin,2020/04/05,1,Class 4,1000,"TURF - ""B+2"" Course",GOOD,MASTERWORK,C334,14,59.24,H W Lai,Y S Tsui,123.0,1140.0,10,3 7 14,381.0,13.47,21.1,24.67,,,
Sha Tin,2020/04/05,2,Class 3,1200,"TURF - ""B+2"" Course",GOOD,VICTORIAM,C186,1,69.61,J Moreira,K W Lui,126.0,1142.0,11,2 1 1,3.3,24.18,22.67,22.76,,,
Sha Tin,2020/04/05,2,Class 3,1200,"TURF - ""B+2"" Course",GOOD,GREAT TREASURE,T380,2,69.77,H N Wong,Y S Tsui,115.0,1020.0,5,10 9 2,43.0,25.02,22.35,22.4,,,
Sha Tin,2020/04/05,2,Class 3,1200,"TURF - ""B+2"" Course",GOOD,CALIFORNIA TURBO,C077,3,69.84,C Y Ho,A S Cruz,120.0,1133.0,10,6 3 3,14.0,24.62,22.35,22.87,,,
Sha Tin,2020/04/05,2,Class 3,1200,"TURF - ""B+2"" Course",GOOD,TAKE WHAT YOU NEED,C474,4,69.87,Z Purton,J Moore,127.0,1024.0,8,3 4 4,2.6,24.34,22.67,22.86,,,
Sha Tin,2020/04/05,2,Class 3,1200,"TURF - ""B+2"" Course",GOOD,DRAGON HAS LANDED,D182,5,69.92,M F Poon,C S Shum,113.0,1128.0,1,1 2 5,162.0,24.1,22.79,23.03,,,
Sha Tin,2020/04/05,2,Class 3,1200,"TURF - ""B+2"" Course",GOOD,HARMONY SPIRIT,D263,6,70.03999999999999,B Shinn,D J Whyte,133.0,1081.0,7,8 5 6,56.0,24.78,22.39,22.87,,,
