track,race_date,race_number,race_class,distance,course_type,track_condition,horse_name,horse_code,finish_position,finishing_time,jockey,trainer,weight_carried,horse_weight,barrier_draw,running_position,win_odds,sec1_time,sec2_time,sec3_time,sec4_time,sec5_time,sec6_time
Sha Tin,2022/10/09,1,Class 4,1650,ALL WEATHER TRACK,GOOD,YES WE CAN,C307,1,99.61,Z Purton,T P Yung,124.0,1282.0,1,7 6 4 1,2.4,28.34,22.78,24.35,24.14,,
Sha Tin,2022/10/09,1,Class 4,1650,ALL WEATHER TRACK,GOOD,RIGHTEOUS DOCTRINE,C197,2,100.32,S De Sousa,C W Chang,127.0,1165.0,7,8 8 7 2,5.3,28.46,22.9,24.27,24.69,,
Sha Tin,2022/10/09,1,Class 4,1650,ALL WEATHER TRACK,GOOD,GREEN LASER,E409,3,100.39,C Y Ho,W Y So,126.0,1114.0,2,5 4 3 3,19.0,27.98,22.9,24.39,25.12,,
Sha Tin,2022/10/09,1,Class 4,1650,ALL WEATHER TRACK,GOOD,CASA LEGEND,G126,4,100.99000000000001,H Bentley,C S Shum,122.0,1123.0,3,3 2 1 4,3.5,27.78,22.86,24.23,26.12,,
Sha Tin,2022/10/09,1,Class 4,1650,ALL WEATHER TRACK,GOOD,RUN THE TABLE,D229,5,101.42,M Chadwick,K W Lui,124.0,999.0,9,6 7 6 5,15.0,28.22,22.94,24.47,25.79,,
Sha Tin,2022/10/09,1,Class 4,1650,ALL WEATHER TRACK,GOOD,KING TOURBILLON,G097,6,101.49000000000001,L Ferraris,C Fownes,129.0,1120.0,8,10 9 9 6,18.0,28.7,22.86,24.35,25.58,,
Sha Tin,2022/10/09,1,Class 4,1650,ALL WEATHER TRACK,GOOD,OUR CREED,D464,7,102.56,M L Yeung,K H Ting,123.0,1061.0,10,2 3 5 7,33.0,27.74,22.98,24.83,27.01,,
Sha Tin,2022/10/09,1,Class 4,1650,ALL WEATHER TRACK,GOOD,PACKING MONKEYKING,G390,8,102.86,M F Poon,L Ho,129.0,1097.0,5,4 5 8 8,48.0,27.98,22.98,24.91,26.99,,
Sha Tin,2022/10/09,1,Class 4,1650,ALL WEATHER TRACK,GOOD,VICTORY PARK,G197,9,102.97,Y L Chung,D J Whyte,125.0,1056.0,4,9 10 10 9,33.0,28.66,23.06,24.59,26.66,,
Sha Tin,2022/10/09,1,Class 4,1650,ALL WEATHER TRACK,GOOD,CHIRON,E151,10,103.72999999999999,L Hewitson,D A Hayes,120.0,1145.0,6,1 1 2 10,13.0,27.7,22.86,24.67,28.5,,
Sha Tin,2022/10/09,2,Class 4,1200,ALL WEATHER TRACK,GOOD,FIERY DIAMOND,G022,1,69.81,Z Purton,T P Yung,127.0,1210.0,7,7 7 1,3.7,23.97,22.46,23.38,,,
Sha Tin,2022/10/09,2,Class 4,1200,ALL WEATHER TRACK,GOOD,MAGIC SUPREME,D144,2 DH,70.03,R Maia,K L Man,133.0,1095.0,11,1 1 2,3.9,23.33,22.42,24.28,,,
Sha Tin,2022/10/09,2,Class 4,1200,ALL WEATHER TRACK,GOOD,THUNDERSTRIKE,E261,2 DH,70.03,Y L Chung,D J Whyte,120.0,1138.0,8,4 4 2,6.3,23.77,22.38,23.88,,,
Sha Tin,2022/10/09,2,Class 4,1200,ALL WEATHER TRACK,GOOD,TURBO POWER,E270,4,70.07,C Y Ho,K W Lui,130.0,1087.0,9,11 11 4,7.7,24.45,22.62,23.0,,,
