timestamp,epoch,race_id,venue,horse_number,horse_name,win_odds,place_odds,time_to_post
2026-09-05T17:17:01,1788599821.274,2026-09-06_Race4,ST,6,SPLENDID FORCE,34.0,9.1,
2026-09-05T17:17:01,1788599821.274,2026-09-06_Race4,ST,7,ALL ARE MINE,11.0,4.3,
2026-09-05T17:17:01,1788599821.274,2026-09-06_Race4,ST,8,GOLDEN FORTUNE,14.0,2.3,
2026-09-05T17:17:01,1788599821.274,2026-09-06_Race4,ST,9,SETANTA,13.0,4.4,
2026-09-05T17:17:01,1788599821.274,2026-09-06_Race4,ST,10,GENERAL SMART,4.8,1.8,
2026-09-05T17:17:01,1788599821.274,2026-09-06_Race4,ST,11,MAZING GRACE,14.0,4.2,
2026-09-05T17:17:01,1788599821.274,2026-09-06_Race4,ST,12,GO GO GO,26.0,7.0,
2026-09-05T17:17:01,1788599821.274,2026-09-06_Race4,ST,13,HAPPY BUDDIES,38.0,8.8,
2026-09-05T17:17:01,1788599821.274,2026-09-06_Race4,ST,14,PERFECT PAIRING,21.0,5.8,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,1,ISLAND BUDDY,7.5,2.4,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,2,KANSAS,53.0,13.0,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,3,CAVA PIONEER,7.2,2.7,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,4,STUNNING BUNDLE,7.2,3.4,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,5,VIRTUS GLORY,6.9,3.0,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,6,SYNERGY IN ACTION,23.0,7.8,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,7,LIGHT YEARS GLORY,6.2,1.7,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,8,NEXT FORTUNE,9.3,3.1,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,9,LEGEND STAR,45.0,15.0,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,10,RIDING HIGH,17.0,5.3,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,11,PODIUM,34.0,6.3,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,12,MONTA FRUTTA,12.0,4.0,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,13,SUPER LOVE,19.0,5.6,
2026-09-05T17:17:09,1788599829.516,2026-09-06_Race5,ST,14,JOLLY COMPANION,11.0,3.3,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,1,SPICY STANDARD,12.0,3.9,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,2,HAROLD WIN,3.5,1.3,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,3,MATZDEN,6.2,2.9,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,4,KA YING RESILIENCE,8.9,3.2,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,5,RISING FROM ASHES,11.0,3.2,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,6,BLAZING METEOR,32.0,8.4,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,7,GROUPER,6.4,2.3,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,8,GOOD LUCK BABE,15.0,5.0,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,9,PRECISION MIND,40.0,8.0,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,10,DIAMOND SPARKLE,51.0,17.0,
2026-09-05T17:17:17,1788599837.687,2026-09-06_Race6,ST,11,LUCKY GIBS,32.0,7.7,
