date,bankroll,roi_pct,peak,drawdown
2021-01-06,10000.0,0.0,10000.0,0.0
2021-01-10,10000.0,0.0,10000.0,0.0
2021-01-13,10000.0,0.0,10000.0,0.0
2021-01-17,10000.0,0.0,10000.0,0.0
2021-01-20,10000.0,0.0,10000.0,0.0
2021-01-24,10000.0,0.0,10000.0,0.0
2021-01-27,10000.0,0.0,10000.0,0.0
2021-01-31,10000.0,0.0,10000.0,0.0
2021-02-03,10000.0,0.0,10000.0,0.0
2021-02-06,10000.0,0.0,10000.0,0.0
2021-02-10,10000.0,0.0,10000.0,0.0
2021-02-14,10000.0,0.0,10000.0,0.0
2021-02-17,10000.0,0.0,10000.0,0.0
2021-02-21,10000.0,0.0,10000.0,0.0
2021-02-24,10000.0,0.0,10000.0,0.0
2021-02-28,10000.0,0.0,10000.0,0.0
2021-03-03,10000.0,0.0,10000.0,0.0
2021-03-07,10000.0,0.0,10000.0,0.0
2021-03-10,10000.0,0.0,10000.0,0.0
2021-03-13,10000.0,0.0,10000.0,0.0
2021-03-17,10000.0,0.0,10000.0,0.0
2021-03-21,10000.0,0.0,10000.0,0.0
2021-03-24,10000.0,0.0,10000.0,0.0
2021-03-28,10000.0,0.0,10000.0,0.0
2021-03-31,10000.0,0.0,10000.0,0.0
2021-04-11,10000.0,0.0,10000.0,0.0
2021-04-14,10000.0,0.0,10000.0,0.0
2021-04-17,10000.0,0.0,10000.0,0.0
2021-04-21,10000.0,0.0,10000.0,0.0
2021-04-25,9800.0,-2.0000000000000018,10000.0,-0.02
2021-04-28,9800.0,-2.0000000000000018,10000.0,-0.02
2021-05-02,9800.0,-2.0000000000000018,10000.0,-0.02
2021-05-05,9604.0,-3.959999999999997,10000.0,-0.0396
2021-05-08,9604.0,-3.959999999999997,10000.0,-0.0396
2021-05-12,9604.0,-3.959999999999997,10000.0,-0.0396
2021-05-16,9604.0,-3.959999999999997,10000.0,-0.0396
2021-05-19,9604.0,-3.959999999999997,10000.0,-0.0396
2021-05-23,9604.0,-3.959999999999997,10000.0,-0.0396
2021-05-26,9604.0,-3.959999999999997,10000.0,-0.0396
2021-05-30,9604.0,-3.959999999999997,10000.0,-0.0396
2021-06-02,9604.0,-3.959999999999997,10000.0,-0.0396
2021-06-06,9604.0,-3.959999999999997,10000.0,-0.0396
2021-06-09,9604.0,-3.959999999999997,10000.0,-0.0396
2021-06-13,9604.0,-3.959999999999997,10000.0,-0.0396
2021-06-20,9604.0,-3.959999999999997,10000.0,-0.0396
2021-06-23,9604.0,-3.959999999999997,10000.0,-0.0396
2021-06-26,9604.0,-3.959999999999997,10000.0,-0.0396
2021-07-04,9604.0,-3.959999999999997,10000.0,-0.0396
2021-07-07,9604.0,-3.959999999999997,10000.0,-0.0396
2021-07-11,9604.0,-3.959999999999997,10000.0,-0.0396
2021-07-14,9604.0,-3.959999999999997,10000.0,-0.0396
2021-09-05,9604.0,-3.959999999999997,10000.0,-0.0396
2021-09-08,9604.0,-3.959999999999997,10000.0,-0.0396
2021-09-12,9604.0,-3.959999999999997,10000.0,-0.0396
2021-09-15,9604.0,-3.959999999999997,10000.0,-0.0396
2021-09-19,9604.0,-3.959999999999997,10000.0,-0.0396
2021-09-22,9604.0,-3.959999999999997,10000.0,-0.0396
2021-09-26,9604.0,-3.959999999999997,10000.0,-0.0396
2021-10-06,9604.0,-3.959999999999997,10000.0,-0.0396
2021-10-10,9604.0,-3.959999999999997,10000.0,-0.0396
2021-10-17,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-10-20,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-10-24,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-10-27,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-10-31,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-11-03,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-11-07,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-11-10,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-11-13,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-11-17,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-11-21,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-11-24,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-11-28,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-12-01,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-12-05,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-12-08,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-12-12,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-12-15,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-12-18,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-12-22,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2021-12-29,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2022-01-01,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2022-01-05,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2022-01-09,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2022-01-12,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2022-01-16,9411.92,-5.880799999999997,10000.0,-0.05880799999999999
2022-01-19,9223.6816,-7.763184000000001,10000.0,-0.07763184000000001
2022-01-23,9223.6816,-7.763184000000001,10000.0,-0.07763184000000001
2022-01-26,9223.6816,-7.763184000000001,10000.0,-0.07763184000000001
2022-01-30,9223.6816,-7.763184000000001,10000.0,-0.07763184000000001
2022-02-06,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-02-09,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-02-12,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-02-16,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-02-20,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-02-23,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-02-27,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-03-02,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-03-06,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-03-09,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-03-12,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-03-16,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-03-20,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-03-23,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-03-27,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-03-30,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-04-03,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
2022-04-06,10053.812944000001,0.5381294400000014,10053.812944000001,0.0
